,index,hours_from_admission_to_death_socialsecurity
0,,1628647
1,167.98333333333332,3
2,3.6666666666666665,2
3,887.9833333333333,2
4,191.98333333333332,2
5,71.98333333333333,2
6,2375.983333333333,2
7,1391.9833333333333,2
8,171.03333333333333,2
9,47.983333333333334,2
10,23.983333333333334,2
11,3.6,2
12,800.0,2
13,369.9166666666667,2
14,298.0,2
15,119.98333333333333,2
16,317.1166666666667,1
17,315.1166666666667,1
18,1406.5,1
19,533.15,1
20,534.85,1
21,2889.2166666666667,1
22,319.1166666666667,1
23,211.58333333333334,1
24,4198.383333333333,1
25,3387.0833333333335,1
26,211.66666666666666,1
27,921.3666666666667,1
28,536.1,1
29,33.65,1
30,954.5666666666667,1
31,288.1166666666667,1
32,81.5,1
33,956.6833333333333,1
34,2984.4666666666667,1
35,4849.383333333333,1
36,3008.7833333333333,1
37,487.15,1
38,3.683333333333333,1
39,83.75,1
40,1343.25,1
41,177.53333333333333,1
42,2836.7166666666667,1
43,309.1166666666667,1
44,84.75,1
45,505.15,1
46,920.3166666666667,1
47,512.85,1
48,458.65,1
49,0.8333333333333334,1
50,2693.9666666666667,1
51,458.4,1
52,277.8833333333333,1
53,2581.4666666666667,1
54,3190.5833333333335,1
55,1774.6833333333334,1
56,199.83333333333334,1
57,198.08333333333334,1
58,2573.2833333333333,1
59,198.41666666666666,1
60,589.65,1
61,4440.116666666667,1
62,2601.0333333333333,1
63,583.6,1
64,963.6833333333333,1
65,3123.1666666666665,1
66,195.83333333333334,1
67,194.91666666666666,1
68,965.5666666666667,1
69,1473.5,1
70,200.16666666666666,1
71,3316.1666666666665,1
72,2742.7833333333333,1
73,1015.9333333333333,1
74,494.4,1
75,106.43333333333334,1
76,1424.5,1
77,1425.5,1
78,462.4,1
79,1701.3166666666666,1
80,173.53333333333333,1
81,628.9,1
82,1442.5,1
83,1445.75,1
84,7203.35,1
85,4252.116666666667,1
86,1685.6833333333334,1
87,3201.0833333333335,1
88,174.78333333333333,1
89,288.6166666666667,1
90,1591.3166666666666,1
91,546.15,1
92,2234.0333333333333,1
93,243.66666666666666,1
94,2395.9666666666667,1
95,3874.0833333333335,1
96,2380.2166666666667,1
97,3872.1666666666665,1
98,3863.3333333333335,1
99,151.96666666666667,1
100,117.68333333333334,1
101,2406.4666666666667,1
102,436.65,1
103,2185.2833333333333,1
104,884.5666666666667,1
105,1162.5,1
106,886.6833333333333,1
107,238.66666666666666,1
108,393.4,1
109,394.85,1
110,1122.25,1
111,1906.4333333333334,1
112,370.1166666666667,1
113,648.9,1
114,702.65,1
115,2508.9666666666667,1
116,366.8666666666667,1
117,702.1,1
118,361.3666666666667,1
119,360.6333333333333,1
120,2536.9666666666667,1
121,651.1,1
122,2338.7833333333333,1
123,650.35,1
124,2318.5333333333333,1
125,1889.5666666666666,1
126,641.65,1
127,1112.0,1
128,1114.0,1
129,797.0666666666667,1
130,891.4333333333333,1
131,3796.0833333333335,1
132,556.85,1
133,2217.7833333333333,1
134,3675.9166666666665,1
135,2080.0333333333333,1
136,414.6,1
137,709.4,1
138,2000.3166666666666,1
139,1251.0,1
140,2141.9666666666667,1
141,2127.7833333333333,1
142,3626.6666666666665,1
143,407.15,1
144,407.35,1
145,1273.75,1
146,846.9333333333333,1
147,294.8833333333333,1
148,223.66666666666666,1
149,1520.75,1
150,11.533333333333333,1
151,126.06666666666666,1
152,2048.7166666666667,1
153,230.91666666666666,1
154,234.58333333333334,1
155,2215.7166666666667,1
156,322.1166666666667,1
157,1183.75,1
158,141.21666666666667,1
159,141.71666666666667,1
