,index,temperature_discharge
0,98.0999984741211,162141
1,98.19999694824219,157077
2,97.9000015258789,149981
3,97.69999694824219,113590
4,98.4000015258789,113120
5,97.5,88417
6,98.5999984741211,83562
7,98.0,76211
8,97.80000305175781,59177
9,98.30000305175781,55582
10,97.30000305175781,55425
11,,53313
12,98.80000305175781,48277
13,97.5999984741211,46277
14,98.5,39220
15,97.19999694824219,36784
16,97.4000015258789,32166
17,99.0,27712
18,98.69999694824219,27190
19,97.0,23967
20,96.80000305175781,20503
21,99.0999984741211,17727
22,98.9000015258789,15082
23,99.30000305175781,11193
24,96.5999984741211,11089
25,97.0999984741211,9136
26,96.4000015258789,8888
27,96.30000305175781,7684
28,96.0999984741211,6990
29,99.5,6588
30,99.19999694824219,5804
31,95.9000015258789,4640
32,99.69999694824219,4279
33,96.9000015258789,4273
34,95.69999694824219,3995
35,99.4000015258789,3605
36,96.69999694824219,3369
37,95.5,3005
38,96.5,2996
39,99.9000015258789,2752
40,95.4000015258789,2359
41,99.5999984741211,2221
42,96.19999694824219,2061
43,96.0,2009
44,100.0,1876
45,99.80000305175781,1475
46,95.19999694824219,1345
47,100.19999694824219,1166
48,95.80000305175781,962
49,100.4000015258789,843
50,95.5999984741211,794
51,95.0,746
52,100.0999984741211,568
53,100.5999984741211,541
54,100.80000305175781,488
55,95.30000305175781,376
56,100.30000305175781,368
57,100.9000015258789,357
58,101.0999984741211,278
59,100.5,261
60,101.30000305175781,239
61,101.5,230
62,100.69999694824219,183
63,101.69999694824219,176
64,95.0999984741211,169
65,102.0,164
66,102.9000015258789,158
67,94.5,154
68,101.80000305175781,151
69,94.30000305175781,141
70,94.80000305175781,135
71,102.19999694824219,132
72,94.5999984741211,132
73,102.69999694824219,121
74,102.4000015258789,117
75,101.0,106
76,36.70000076293945,102
77,103.0999984741211,96
78,94.0999984741211,96
79,36.79999923706055,90
80,102.5999984741211,88
81,101.19999694824219,87
82,93.69999694824219,77
83,36.5,77
84,93.9000015258789,75
85,36.400001525878906,72
86,93.19999694824219,67
87,36.599998474121094,67
88,36.900001525878906,64
89,93.4000015258789,64
90,37.400001525878906,61
91,32.0,54
92,102.80000305175781,52
93,94.0,52
94,103.0,51
95,93.0,50
96,101.9000015258789,47
97,101.4000015258789,47
98,103.30000305175781,47
99,93.5999984741211,47
100,92.80000305175781,44
101,101.5999984741211,41
102,94.4000015258789,40
103,103.5,39
104,94.9000015258789,39
105,91.4000015258789,38
106,103.80000305175781,37
107,91.80000305175781,37
108,92.5,36
109,37.20000076293945,36
110,92.0999984741211,34
111,37.0,34
112,102.0999984741211,33
113,102.30000305175781,33
114,37.099998474121094,33
115,92.30000305175781,32
116,36.29999923706055,32
117,94.69999694824219,31
118,103.5999984741211,31
119,36.20000076293945,27
120,102.5,26
121,94.19999694824219,26
122,92.69999694824219,26
123,91.9000015258789,25
124,91.5999984741211,22
125,36.099998474121094,21
126,93.5,20
127,37.599998474121094,20
128,36.0,19
129,104.0,19
130,90.5,19
131,90.69999694824219,17
132,90.0,17
133,93.80000305175781,17
134,103.19999694824219,16
135,35.79999923706055,15
136,35.70000076293945,15
137,90.9000015258789,15
138,89.5999984741211,15
139,35.900001525878906,15
140,89.19999694824219,14
141,93.30000305175781,14
142,90.30000305175781,14
143,91.0,14
144,104.19999694824219,14
145,90.0999984741211,13
146,91.19999694824219,13
147,92.0,13
148,98.05999755859375,12
149,103.4000015258789,12
150,93.0999984741211,12
151,38.5,12
152,37.5,11
153,104.69999694824219,11
154,37.79999923706055,10
155,97.87999725341797,10
156,89.80000305175781,10
157,104.9000015258789,9
158,88.30000305175781,9
159,97.5199966430664,9
160,98.23999786376953,9
161,104.4000015258789,9
162,104.0999984741211,9
163,87.80000305175781,8
164,64.4000015258789,8
165,37.29999923706055,8
166,37.70000076293945,8
167,44.099998474121094,8
168,92.5999984741211,8
169,38.099998474121094,8
170,35.599998474121094,7
171,98.41999816894531,7
172,33.79999923706055,7
173,104.5,7
174,89.0,7
175,91.30000305175781,7
176,103.69999694824219,6
177,37.900001525878906,6
178,91.69999694824219,6
179,48.20000076293945,6
180,87.5,6
181,44.599998474121094,6
182,43.900001525878906,6
183,87.5999984741211,6
184,42.79999923706055,6
185,92.19999694824219,6
186,92.4000015258789,5
187,87.69999694824219,5
188,91.0999984741211,5
189,88.19999694824219,5
190,86.9000015258789,5
191,86.4000015258789,5
192,97.33999633789062,5
193,60.79999923706055,5
194,38.0,5
195,9.699999809265137,5
196,38.599998474121094,4
197,106.5,4
198,38.400001525878906,4
199,106.19999694824219,4
200,88.69999694824219,4
201,88.9000015258789,4
202,35.20000076293945,4
203,129.1999969482422,4
204,97.16000366210938,4
205,105.80000305175781,4
206,90.80000305175781,4
207,89.4000015258789,4
208,105.30000305175781,4
209,89.69999694824219,4
210,106.69999694824219,4
211,85.80000305175781,4
212,140.0,4
213,38.70000076293945,4
214,79.69999694824219,4
215,92.9000015258789,4
216,86.5999984741211,4
217,68.0,3
218,86.0,3
219,89.5,3
220,105.4000015258789,3
221,105.19999694824219,3
222,69.80000305175781,3
223,89.0999984741211,3
224,87.0,3
225,85.5999984741211,3
226,105.0,3
227,49.29999923706055,3
228,46.400001525878906,3
229,35.400001525878906,3
230,43.70000076293945,3
231,42.599998474121094,3
232,88.0,3
233,85.5,3
234,87.19999694824219,3
235,96.26000213623047,3
236,9.199999809265137,3
237,107.19999694824219,3
238,91.5,3
239,95.72000122070312,3
240,90.19999694824219,3
241,106.0,3
242,134.60000610351562,3
243,82.0,2
244,38.29999923706055,2
