,index,bmi_admit
226,21.93000030517578,606
227,33.45000076293945,605
228,35.43000030517578,605
229,24.559999465942383,604
230,28.799999237060547,604
231,25.3700008392334,604
232,28.1299991607666,603
233,25.06999969482422,602
234,25.809999465942383,602
235,26.459999084472656,601
236,29.829999923706055,600
237,24.200000762939453,599
238,25.0,598
239,26.93000030517578,597
240,27.790000915527344,596
241,26.5,596
242,27.3799991607666,596
243,21.799999237060547,595
244,29.860000610351562,595
245,19.3700008392334,594
246,22.31999969482422,594
247,26.219999313354492,593
248,22.65999984741211,592
249,21.479999542236328,591
250,33.0,591
251,26.889999389648438,590
252,27.760000228881836,590
253,30.1200008392334,589
254,22.43000030517578,588
255,29.350000381469727,587
256,25.020000457763672,587
257,22.1299991607666,587
258,28.280000686645508,586
259,32.099998474121094,585
260,27.31999969482422,584
261,35.869998931884766,584
262,25.530000686645508,584
263,28.65999984741211,584
264,23.15999984741211,583
265,25.65999984741211,583
266,26.6200008392334,582
267,29.8700008392334,580
268,35.150001525878906,580
269,25.149999618530273,578
270,34.439998626708984,578
271,25.34000015258789,578
272,23.559999465942383,578
273,23.059999465942383,578
274,25.799999237060547,577
275,31.6299991607666,577
276,25.6200008392334,574
277,21.770000457763672,574
278,23.770000457763672,572
279,21.700000762939453,571
280,21.459999084472656,571
281,23.34000015258789,571
282,28.530000686645508,571
283,21.030000686645508,570
284,30.34000015258789,569
285,32.91999816894531,567
286,26.1299991607666,567
287,29.68000030517578,565
288,32.119998931884766,564
289,28.75,564
290,33.66999816894531,564
291,30.700000762939453,564
292,20.1200008392334,564
293,22.3799991607666,564
294,27.200000762939453,564
295,28.489999771118164,563
296,26.43000030517578,563
297,25.25,563
298,23.829999923706055,562
299,26.399999618530273,562
300,25.1299991607666,561
301,23.799999237060547,561
302,22.889999389648438,559
303,23.709999084472656,557
304,30.520000457763672,556
305,32.4900016784668,553
306,23.459999084472656,551
307,23.399999618530273,550
308,24.75,550
309,27.670000076293945,550
310,30.559999465942383,549
311,28.040000915527344,549
312,29.030000686645508,547
313,24.479999542236328,545
314,32.0099983215332,545
315,21.610000610351562,545
316,29.15999984741211,544
317,31.450000762939453,544
318,20.3700008392334,543
319,25.989999771118164,543
320,29.450000762939453,543
321,30.719999313354492,542
322,23.59000015258789,542
323,23.110000610351562,541
324,25.459999084472656,540
325,24.510000228881836,540
326,24.979999542236328,540
327,31.170000076293945,539
328,23.3799991607666,538
329,30.6200008392334,538
330,27.170000076293945,538
331,26.040000915527344,538
332,26.850000381469727,537
333,26.170000076293945,536
334,25.1200008392334,536
335,27.549999237060547,536
336,25.329999923706055,535
337,26.700000762939453,535
338,28.790000915527344,535
339,26.049999237060547,533
340,32.54999923706055,533
341,29.1299991607666,532
342,24.969999313354492,532
343,34.33000183105469,531
344,30.0,531
345,34.0099983215332,530
346,28.149999618530273,529
347,19.139999389648438,529
348,25.030000686645508,528
349,31.309999465942383,528
350,24.43000030517578,527
351,22.110000610351562,527
352,29.020000457763672,526
353,24.90999984741211,525
354,25.079999923706055,524
355,27.43000030517578,524
356,29.6200008392334,524
357,31.639999389648438,524
358,29.100000381469727,524
359,29.649999618530273,523
360,23.329999923706055,523
361,27.600000381469727,522
362,29.389999389648438,522
363,25.190000534057617,522
364,26.010000228881836,521
365,23.020000457763672,521
366,31.950000762939453,521
367,26.969999313354492,521
368,29.270000457763672,521
369,27.06999969482422,521
370,27.719999313354492,521
371,27.90999984741211,520
372,26.690000534057617,520
