,index,bmi_discharge
397,26.25,538
398,27.05,538
399,27.61,538
400,34.44,537
401,23.1,537
402,35.87,537
403,25.9,537
404,21.61,536
405,28.37,536
406,25.42,536
407,24.72,535
408,29.04,535
409,23.95,535
410,22.89,534
411,26.56,534
412,24.64,533
413,27.82,532
414,33.67,531
415,26.87,531
416,26.08,531
417,30.62,530
418,24.78,530
419,28.65,529
420,31.95,529
421,26.44,529
422,28.63,528
423,31.31,528
424,29.24,528
425,24.76,528
426,23.88,528
427,35.43,528
428,31.64,527
429,22.85,527
430,26.21,527
431,22.27,527
432,27.43,527
433,22.2,526
434,29.65,526
435,25.12,525
436,25.94,525
437,22.73,525
438,27.66,525
439,30.45,523
440,30.3,522
441,23.33,522
442,22.45,522
443,23.43,521
444,21.7,521
445,29.62,520
446,25.52,520
447,23.98,520
448,26.92,520
449,27,519
450,26.19,518
451,23.71,517
452,27.93,517
453,29.5,516
454,30.71,516
455,24.66,516
456,29.8,516
457,34.01,516
458,30.52,515
459,24,515
460,22.65,514
461,32.77,514
462,25.55,513
463,32.55,513
464,28,513
465,24.18,512
466,34.33,512
467,25.63,512
468,23.01,512
469,23.72,512
470,26.97,512
471,28.46,512
472,27.42,511
473,25.44,511
474,30.99,510
475,26.51,510
476,20.97,509
477,30.08,509
478,26.73,509
479,29.17,509
480,25.6,508
481,26.66,508
482,28.08,508
483,25.89,508
484,33,507
485,23.21,506
486,23.65,506
487,25.98,506
488,28.16,506
489,31.24,506
490,30.47,505
491,27.78,505
492,23.02,504
493,28.07,504
494,26.11,504
495,27.52,504
496,26.32,504
497,27.63,503
498,21.13,503
499,27.59,502
500,25.29,502
501,30.29,502
502,32.89,501
503,28.36,501
504,24.88,501
505,22.82,500
506,24.61,500
507,28.82,499
508,28.27,499
509,26.72,499
510,27.64,498
511,26.75,497
512,24.25,496
513,24.86,496
514,26.82,495
515,22.33,494
516,31.47,494
517,25.41,493
518,24.24,493
519,25.16,493
520,20.78,492
521,23.47,492
522,28.1,492
523,27.11,491
524,24.29,491
525,26.03,491
526,27.03,491
527,22.92,491
528,22.53,490
529,30.65,490
530,25.74,489
531,26.23,489
532,32.45,489
533,25.27,489
534,28.98,488
535,22.49,488
536,27.31,488
537,23.52,487
538,30.82,487
539,30.73,487
540,23.82,486
541,20.99,486
542,28.18,486
543,31.41,485
544,33.3,485
545,22.42,485
546,24.17,485
547,26.59,485
548,28.52,483
549,25.21,483
550,23.6,483
551,26.3,482
552,29.54,482
553,28.14,482
554,28.43,481
555,25.76,481
556,23.7,481
557,29.63,481
558,29.79,481
559,23.12,481
560,28.24,481
561,24.54,481
562,26.6,480
563,28.21,480
564,27.71,480
565,22.26,480
566,23.18,479
567,21.92,479
568,28.57,479
569,23.42,479
570,21.87,478
571,28.42,478
572,27.48,478
573,27.88,478
574,20.53,478
575,25.04,478
576,27.77,477
577,25.18,477
578,20.34,477
579,20.48,477
580,23.39,476
581,27.49,475
582,24.74,474
583,24.46,474
584,30.2,474
585,26.48,474
586,31.38,473
587,27.51,473
588,29.59,473
589,21.41,472
590,24.36,472
591,21.58,472
592,30.26,472
593,21.83,472
594,23.5,471
