,index,temperature_admit
0,98.19999694824219,142406
1,98.0999984741211,141723
2,97.9000015258789,134204
3,97.69999694824219,111192
4,98.4000015258789,105204
5,97.5,94511
6,98.5999984741211,84716
7,98.0,60645
8,97.30000305175781,56584
9,,53313
10,98.80000305175781,52791
11,97.80000305175781,49295
12,98.30000305175781,43363
13,97.19999694824219,42525
14,97.5999984741211,40953
15,99.0,36318
16,98.5,32439
17,97.0,30038
18,97.4000015258789,28462
19,96.80000305175781,25878
20,99.0999984741211,24659
21,98.69999694824219,24141
22,99.30000305175781,18170
23,98.9000015258789,14681
24,99.5,13088
25,96.5999984741211,11304
26,99.69999694824219,10072
27,96.4000015258789,9810
28,97.0999984741211,8625
29,96.30000305175781,8194
30,99.9000015258789,7614
31,99.19999694824219,7332
32,96.0999984741211,7325
33,100.0,6493
34,99.4000015258789,5268
35,95.9000015258789,5069
36,100.19999694824219,4740
37,95.69999694824219,4311
38,100.4000015258789,3932
39,99.5999984741211,3780
40,96.9000015258789,3719
41,95.5,3433
42,100.5999984741211,3010
43,96.69999694824219,3006
44,99.80000305175781,2989
45,96.5,2876
46,95.4000015258789,2821
47,100.80000305175781,2563
48,100.9000015258789,2168
49,96.0,2055
50,96.19999694824219,1930
51,100.0999984741211,1835
52,101.0999984741211,1748
53,95.19999694824219,1546
54,100.30000305175781,1498
55,101.30000305175781,1475
56,101.5,1267
57,100.5,1158
58,101.69999694824219,1085
59,95.0,1020
60,100.69999694824219,1013
61,101.80000305175781,1004
62,102.0,999
63,95.80000305175781,978
64,95.5999984741211,891
65,102.19999694824219,851
66,102.9000015258789,836
67,101.0,833
68,102.5999984741211,737
69,103.0999984741211,732
70,102.69999694824219,730
71,102.4000015258789,701
72,101.19999694824219,683
73,101.4000015258789,514
74,103.0,472
75,95.30000305175781,460
76,101.5999984741211,437
77,101.9000015258789,433
78,102.80000305175781,402
79,102.0999984741211,349
80,102.5,339
81,102.30000305175781,316
82,94.5,297
83,94.80000305175781,274
84,94.30000305175781,262
85,94.5999984741211,257
86,103.30000305175781,241
87,95.0999984741211,228
88,94.0999984741211,216
89,93.9000015258789,203
90,103.19999694824219,184
91,93.19999694824219,168
92,93.69999694824219,146
93,93.4000015258789,136
94,103.5,133
95,93.5999984741211,120
96,93.0,111
97,103.80000305175781,95
98,94.4000015258789,95
99,103.5999984741211,93
100,92.5,93
101,92.69999694824219,86
102,92.80000305175781,85
103,92.30000305175781,85
104,94.0,83
105,36.70000076293945,83
106,104.0,80
107,36.599998474121094,74
108,94.9000015258789,72
109,36.79999923706055,71
110,36.900001525878906,71
111,92.0999984741211,69
112,91.80000305175781,68
113,91.4000015258789,67
114,91.9000015258789,66
115,103.4000015258789,66
116,94.69999694824219,64
117,36.400001525878906,63
118,36.5,62
119,104.19999694824219,60
120,91.0,59
121,91.5999984741211,53
122,94.19999694824219,53
123,37.400001525878906,49
124,91.19999694824219,45
125,36.29999923706055,43
126,104.5,42
127,90.0,42
128,103.69999694824219,38
129,93.80000305175781,38
130,90.9000015258789,38
131,104.4000015258789,37
132,93.30000305175781,37
133,90.30000305175781,36
134,104.69999694824219,34
135,37.099998474121094,34
136,90.69999694824219,31
137,93.5,31
138,90.5,30
139,37.20000076293945,29
140,89.5999984741211,28
141,90.0999984741211,27
142,36.20000076293945,26
143,103.9000015258789,26
144,32.0,25
145,93.0999984741211,24
146,104.0999984741211,24
147,89.80000305175781,22
148,37.0,22
149,104.30000305175781,21
150,89.4000015258789,20
151,37.599998474121094,20
152,92.19999694824219,20
153,92.4000015258789,20
154,35.900001525878906,20
155,104.9000015258789,19
156,38.5,18
157,89.19999694824219,17
158,88.5,17
159,88.30000305175781,17
160,92.0,16
161,36.099998474121094,16
162,91.30000305175781,15
163,105.0,15
164,104.80000305175781,15
165,92.5999984741211,14
166,87.80000305175781,13
167,88.9000015258789,13
168,86.0,13
169,105.30000305175781,13
170,35.599998474121094,13
171,104.5999984741211,13
172,88.69999694824219,13
173,33.79999923706055,13
174,37.5,13
175,38.599998474121094,13
176,91.69999694824219,13
177,88.19999694824219,12
178,35.70000076293945,12
179,89.0999984741211,12
180,48.20000076293945,12
181,36.0,12
182,37.900001525878906,11
183,91.0999984741211,10
184,91.5,10
185,105.4000015258789,10
186,87.4000015258789,9
187,37.79999923706055,9
188,92.9000015258789,9
189,87.0999984741211,8
190,88.0,8
191,105.19999694824219,8
192,38.099998474121094,8
193,90.19999694824219,8
194,86.5,8
195,87.30000305175781,8
196,37.29999923706055,7
197,38.400001525878906,7
198,87.5999984741211,7
199,37.70000076293945,7
200,90.4000015258789,7
201,105.0999984741211,7
202,86.4000015258789,7
203,64.4000015258789,7
204,85.5999984741211,6
205,87.69999694824219,6
206,89.9000015258789,6
207,68.0,6
208,38.79999923706055,6
209,35.5,6
210,38.0,6
211,98.05999755859375,6
212,35.79999923706055,6
213,84.19999694824219,6
214,9.800000190734863,6
215,90.5999984741211,5
216,89.0,5
217,90.80000305175781,5
218,86.9000015258789,5
219,38.70000076293945,5
220,35.400001525878906,5
221,86.19999694824219,5
222,106.0,5
223,105.80000305175781,5
224,105.5,5
225,84.5999984741211,5
226,84.0,5
227,83.69999694824219,5
228,97.33999633789062,5
229,89.30000305175781,5
230,85.80000305175781,4
231,84.9000015258789,4
232,84.4000015258789,4
233,79.9000015258789,4
234,80.0999984741211,4
235,96.62000274658203,4
236,39.20000076293945,4
237,38.29999923706055,4
238,105.5999984741211,4
239,35.29999923706055,4
240,97.87999725341797,4
241,85.30000305175781,3
242,87.5,3
243,87.19999694824219,3
244,85.0999984741211,3
245,89.69999694824219,3
246,85.5,3
247,105.69999694824219,3
248,86.69999694824219,3
249,9.699999809265137,3
250,106.5,3
251,106.19999694824219,3
252,89.5,3
253,84.69999694824219,3
254,87.9000015258789,3
255,69.9000015258789,3
256,32.70000076293945,3
257,83.30000305175781,3
258,46.400001525878906,3
259,82.0,3
260,35.20000076293945,3
261,105.9000015258789,3
262,71.4000015258789,3
263,96.08000183105469,3
264,79.5,3
265,33.099998474121094,2
266,79.19999694824219,2
267,33.400001525878906,2
268,80.0,2
269,35.099998474121094,2
270,79.0,2
271,79.5999984741211,2
272,78.30000305175781,2
273,78.80000305175781,2
274,78.4000015258789,2
275,67.0,2
276,60.79999923706055,2
277,48.400001525878906,2
278,44.099998474121094,2
279,69.4000015258789,2
280,43.20000076293945,2
281,71.5999984741211,2
282,75.19999694824219,2
283,42.79999923706055,2
284,77.0,2
285,41.5,2
286,41.0,2
287,38.20000076293945,2
288,147.1999969482422,2
289,9.300000190734863,2
290,77.4000015258789,2
291,9.399999618530273,2
292,81.0999984741211,2
293,9.199999809265137,2
294,107.5999984741211,2
295,8.399999618530273,2
296,88.4000015258789,2
