,index,length_of_stay
5175,0 days 09:25:00.000000000,112
5176,5 days 23:45:00.000000000,112
5177,4 days 01:04:00.000000000,112
5178,4 days 03:16:00.000000000,112
5179,0 days 08:20:00.000000000,112
5180,3 days 10:41:00.000000000,111
5181,0 days 10:59:00.000000000,111
5182,4 days 02:44:00.000000000,111
5183,5 days 23:40:00.000000000,111
5184,4 days 03:09:00.000000000,111
5185,4 days 22:57:00.000000000,111
5186,3 days 09:37:00.000000000,111
5187,0 days 06:20:00.000000000,111
5188,3 days 15:17:00.000000000,111
5189,4 days 20:19:00.000000000,111
5190,3 days 16:11:00.000000000,111
5191,0 days 12:47:00.000000000,111
5192,3 days 14:38:00.000000000,111
5193,3 days 16:54:00.000000000,111
5194,3 days 16:32:00.000000000,111
5195,4 days 16:25:00.000000000,111
5196,4 days 02:34:00.000000000,111
5197,4 days 03:06:00.000000000,111
5198,0 days 07:25:00.000000000,111
5199,4 days 04:18:00.000000000,111
5200,5 days 19:45:00.000000000,111
5201,3 days 17:52:00.000000000,111
5202,4 days 17:25:00.000000000,111
5203,4 days 05:08:00.000000000,111
5204,3 days 18:24:00.000000000,111
5205,3 days 10:53:00.000000000,111
5206,5 days 22:35:00.000000000,111
5207,4 days 15:50:00.000000000,111
5208,6 days 02:00:00.000000000,111
5209,3 days 08:32:00.000000000,111
5210,4 days 05:06:00.000000000,111
5211,0 days 05:50:00.000000000,111
5212,4 days 10:00:00.000000000,111
5213,4 days 03:46:00.000000000,111
5214,3 days 14:44:00.000000000,111
5215,0 days 11:03:00.000000000,111
5216,5 days 23:20:00.000000000,111
5217,5 days 20:30:00.000000000,111
5218,0 days 12:27:00.000000000,111
5219,3 days 10:27:00.000000000,110
5220,4 days 21:31:00.000000000,110
5221,3 days 16:43:00.000000000,110
5222,4 days 03:04:00.000000000,110
5223,3 days 15:38:00.000000000,110
5224,0 days 12:14:00.000000000,110
5225,5 days 21:50:00.000000000,110
5226,0 days 06:05:00.000000000,110
5227,0 days 07:20:00.000000000,110
5228,4 days 04:29:00.000000000,110
5229,3 days 16:46:00.000000000,110
5230,3 days 10:23:00.000000000,110
5231,4 days 02:32:00.000000000,110
5232,5 days 20:55:00.000000000,110
5233,0 days 11:29:00.000000000,110
5234,3 days 15:07:00.000000000,110
5235,3 days 14:22:00.000000000,110
5236,3 days 13:14:00.000000000,110
5237,5 days 02:10:00.000000000,110
5238,3 days 08:17:00.000000000,110
5239,4 days 06:43:00.000000000,110
5240,6 days 00:15:00.000000000,110
5241,5 days 00:21:00.000000000,110
5242,5 days 23:35:00.000000000,110
5243,3 days 17:26:00.000000000,110
5244,4 days 02:31:00.000000000,110
5245,3 days 10:12:00.000000000,110
5246,0 days 07:55:00.000000000,110
5247,3 days 10:28:00.000000000,110
5248,4 days 22:18:00.000000000,110
5249,0 days 08:50:00.000000000,110
5250,4 days 19:42:00.000000000,110
5251,0 days 07:35:00.000000000,110
5252,3 days 17:18:00.000000000,110
5253,3 days 10:14:00.000000000,110
5254,4 days 02:09:00.000000000,110
5255,3 days 14:23:00.000000000,110
5256,0 days 05:20:00.000000000,110
5257,3 days 14:34:00.000000000,110
5258,3 days 17:08:00.000000000,110
5259,3 days 14:54:00.000000000,110
5260,4 days 15:45:00.000000000,110
5261,3 days 11:51:00.000000000,110
5262,0 days 11:22:00.000000000,110
5263,3 days 21:46:00.000000000,110
5264,4 days 13:30:00.000000000,110
5265,3 days 10:04:00.000000000,109
5266,4 days 05:47:00.000000000,109
5267,3 days 07:24:00.000000000,109
5268,0 days 10:38:00.000000000,109
5269,3 days 14:53:00.000000000,109
5270,0 days 11:02:00.000000000,109
5271,3 days 08:56:00.000000000,109
5272,4 days 04:07:00.000000000,109
5273,4 days 18:13:00.000000000,109
5274,3 days 19:13:00.000000000,109
5275,3 days 09:21:00.000000000,109
5276,4 days 16:10:00.000000000,109
5277,5 days 00:16:00.000000000,109
5278,4 days 04:54:00.000000000,109
5279,4 days 22:27:00.000000000,109
5280,3 days 16:16:00.000000000,109
5281,3 days 10:31:00.000000000,109
5282,3 days 13:03:00.000000000,109
5283,0 days 12:04:00.000000000,109
5284,4 days 04:26:00.000000000,109
5285,0 days 13:42:00.000000000,109
5286,3 days 16:02:00.000000000,109
5287,3 days 10:06:00.000000000,109
5288,0 days 11:28:00.000000000,109
5289,3 days 08:24:00.000000000,109
5290,0 days 04:05:00.000000000,109
5291,3 days 09:08:00.000000000,109
5292,0 days 13:02:00.000000000,109
5293,5 days 19:40:00.000000000,109
5294,0 days 13:23:00.000000000,109
5295,5 days 01:26:00.000000000,109
5296,4 days 06:16:00.000000000,109
5297,5 days 03:05:00.000000000,109
5298,3 days 09:13:00.000000000,109
5299,3 days 19:06:00.000000000,109
5300,4 days 21:37:00.000000000,108
5301,4 days 04:34:00.000000000,108
5302,5 days 01:10:00.000000000,108
5303,0 days 09:29:00.000000000,108
5304,4 days 20:16:00.000000000,108
5305,5 days 19:15:00.000000000,108
5306,3 days 09:43:00.000000000,108
5307,3 days 16:57:00.000000000,108
5308,3 days 09:34:00.000000000,108
5309,4 days 03:36:00.000000000,108
5310,4 days 20:26:00.000000000,108
5311,5 days 21:20:00.000000000,108
5312,4 days 03:32:00.000000000,108
5313,0 days 10:55:00.000000000,108
5314,4 days 21:18:00.000000000,108
5315,3 days 16:13:00.000000000,108
5316,0 days 11:56:00.000000000,108
5317,4 days 13:45:00.000000000,108
5318,3 days 16:22:00.000000000,108
5319,0 days 11:21:00.000000000,108
5320,3 days 17:31:00.000000000,108
5321,3 days 09:14:00.000000000,108
5322,0 days 11:14:00.000000000,108
5323,4 days 19:52:00.000000000,108
5324,4 days 20:58:00.000000000,108
5325,3 days 20:57:00.000000000,108
5326,4 days 18:48:00.000000000,108
5327,0 days 06:40:00.000000000,108
5328,6 days 01:15:00.000000000,108
5329,3 days 16:18:00.000000000,108
5330,3 days 16:26:00.000000000,108
5331,4 days 03:31:00.000000000,108
5332,4 days 05:04:00.000000000,108
5333,3 days 08:02:00.000000000,108
5334,3 days 16:42:00.000000000,108
5335,4 days 04:09:00.000000000,108
5336,4 days 22:21:00.000000000,108
5337,4 days 20:18:00.000000000,108
5338,3 days 16:59:00.000000000,108
5339,3 days 17:46:00.000000000,108
5340,3 days 10:54:00.000000000,108
5341,4 days 22:59:00.000000000,108
5342,0 days 03:45:00.000000000,108
5343,4 days 05:57:00.000000000,108
5344,0 days 08:05:00.000000000,108
5345,3 days 10:03:00.000000000,108
5346,4 days 16:20:00.000000000,108
5347,4 days 02:58:00.000000000,108
5348,4 days 03:49:00.000000000,108
5349,4 days 03:38:00.000000000,108
5350,4 days 04:39:00.000000000,108
5351,3 days 13:47:00.000000000,108
5352,0 days 02:45:00.000000000,108
5353,6 days 21:05:00.000000000,108
5354,4 days 07:40:00.000000000,107
5355,3 days 09:07:00.000000000,107
5356,5 days 20:20:00.000000000,107
5357,6 days 22:45:00.000000000,107
5358,3 days 15:56:00.000000000,107
5359,6 days 21:30:00.000000000,107
5360,3 days 13:22:00.000000000,107
5361,0 days 12:06:00.000000000,107
5362,4 days 03:42:00.000000000,107
5363,5 days 01:55:00.000000000,107
5364,4 days 04:52:00.000000000,107
5365,5 days 02:25:00.000000000,107
5366,3 days 13:44:00.000000000,107
5367,0 days 12:21:00.000000000,107
5368,4 days 06:35:00.000000000,107
5369,0 days 13:17:00.000000000,107
5370,3 days 09:46:00.000000000,107
5371,4 days 04:06:00.000000000,107
5372,4 days 21:24:00.000000000,107
5373,4 days 21:21:00.000000000,107
5374,3 days 15:58:00.000000000,107
5375,3 days 10:49:00.000000000,107
5376,4 days 07:10:00.000000000,107
5377,7 days 00:30:00.000000000,107
5378,3 days 10:32:00.000000000,107
5379,4 days 23:29:00.000000000,107
5380,4 days 23:22:00.000000000,107
5381,4 days 02:39:00.000000000,107
5382,5 days 22:05:00.000000000,107
5383,0 days 12:11:00.000000000,107
5384,4 days 15:40:00.000000000,107
5385,4 days 04:58:00.000000000,107
5386,5 days 23:15:00.000000000,106
5387,3 days 17:49:00.000000000,106
5388,3 days 17:28:00.000000000,106
5389,3 days 13:59:00.000000000,106
5390,4 days 22:33:00.000000000,106
5391,3 days 22:19:00.000000000,106
5392,4 days 17:59:00.000000000,106
5393,0 days 10:22:00.000000000,106
5394,5 days 00:06:00.000000000,106
5395,0 days 11:08:00.000000000,106
5396,4 days 23:09:00.000000000,106
5397,4 days 07:25:00.000000000,106
5398,3 days 10:07:00.000000000,106
5399,0 days 03:05:00.000000000,106
5400,3 days 09:56:00.000000000,106
5401,5 days 00:12:00.000000000,106
5402,3 days 09:36:00.000000000,106
5403,5 days 19:30:00.000000000,106
5404,4 days 18:32:00.000000000,106
5405,4 days 23:51:00.000000000,106
5406,5 days 04:35:00.000000000,106
5407,4 days 20:07:00.000000000,106
5408,4 days 20:43:00.000000000,106
5409,4 days 04:17:00.000000000,106
5410,3 days 11:39:00.000000000,106
5411,0 days 08:55:00.000000000,106
5412,5 days 18:05:00.000000000,106
5413,5 days 00:02:00.000000000,106
5414,3 days 10:02:00.000000000,106
5415,0 days 12:17:00.000000000,106
5416,3 days 13:46:00.000000000,106
5417,5 days 03:25:00.000000000,106
5418,3 days 15:47:00.000000000,106
5419,6 days 03:30:00.000000000,106
5420,4 days 21:43:00.000000000,106
5421,4 days 14:00:00.000000000,106
5422,0 days 04:06:00.000000000,106
5423,5 days 04:45:00.000000000,106
5424,5 days 18:30:00.000000000,106
5425,4 days 20:12:00.000000000,106
5426,4 days 02:56:00.000000000,105
5427,3 days 10:26:00.000000000,105
5428,3 days 15:19:00.000000000,105
5429,3 days 17:12:00.000000000,105
5430,0 days 11:58:00.000000000,105
5431,3 days 10:36:00.000000000,105
5432,4 days 23:26:00.000000000,105
5433,0 days 12:26:00.000000000,105
5434,5 days 17:15:00.000000000,105
5435,0 days 11:31:00.000000000,105
5436,4 days 02:26:00.000000000,105
5437,5 days 03:40:00.000000000,105
5438,3 days 14:04:00.000000000,105
5439,3 days 09:27:00.000000000,105
5440,0 days 11:52:00.000000000,105
5441,0 days 07:10:00.000000000,105
5442,4 days 02:04:00.000000000,105
5443,6 days 20:00:00.000000000,105
5444,3 days 17:03:00.000000000,105
5445,5 days 22:50:00.000000000,105
5446,5 days 21:10:00.000000000,105
5447,4 days 23:28:00.000000000,105
5448,4 days 23:24:00.000000000,105
5449,6 days 18:45:00.000000000,105
5450,3 days 16:53:00.000000000,105
5451,4 days 09:30:00.000000000,105
5452,3 days 17:04:00.000000000,105
5453,4 days 04:01:00.000000000,105
5454,4 days 03:41:00.000000000,105
5455,4 days 20:27:00.000000000,105
5456,4 days 03:59:00.000000000,105
5457,3 days 15:44:00.000000000,105
5458,3 days 10:48:00.000000000,105
5459,4 days 14:20:00.000000000,105
5460,3 days 15:26:00.000000000,105
5461,4 days 21:51:00.000000000,105
5462,3 days 13:34:00.000000000,105
5463,3 days 11:34:00.000000000,105
5464,0 days 09:10:00.000000000,105
5465,4 days 02:49:00.000000000,105
5466,4 days 06:12:00.000000000,105
5467,3 days 13:12:00.000000000,105
5468,0 days 09:05:00.000000000,104
5469,4 days 04:28:00.000000000,104
5470,3 days 15:13:00.000000000,104
5471,0 days 10:09:00.000000000,104
5472,4 days 04:53:00.000000000,104
5473,5 days 18:20:00.000000000,104
5474,3 days 14:57:00.000000000,104
5475,4 days 20:24:00.000000000,104
5476,3 days 09:54:00.000000000,104
5477,0 days 04:40:00.000000000,104
5478,5 days 03:50:00.000000000,104
5479,3 days 08:39:00.000000000,104
5480,3 days 09:58:00.000000000,104
5481,3 days 17:02:00.000000000,104
5482,4 days 05:18:00.000000000,104
5483,5 days 02:07:00.000000000,104
5484,4 days 11:15:00.000000000,104
5485,3 days 16:12:00.000000000,104
5486,4 days 03:13:00.000000000,104
5487,4 days 04:08:00.000000000,104
5488,3 days 14:13:00.000000000,104
5489,6 days 21:50:00.000000000,104
5490,5 days 03:10:00.000000000,104
5491,3 days 11:08:00.000000000,104
5492,0 days 11:49:00.000000000,104
5493,5 days 23:50:00.000000000,104
5494,4 days 03:43:00.000000000,104
5495,4 days 17:35:00.000000000,104
5496,3 days 11:43:00.000000000,104
5497,3 days 18:11:00.000000000,104
5498,4 days 22:48:00.000000000,104
5499,0 days 06:25:00.000000000,104
5500,0 days 04:37:00.000000000,104
5501,3 days 17:43:00.000000000,104
5502,3 days 13:58:00.000000000,103
5503,0 days 11:44:00.000000000,103
5504,3 days 08:58:00.000000000,103
5505,3 days 14:52:00.000000000,103
5506,0 days 07:05:00.000000000,103
5507,5 days 00:37:00.000000000,103
5508,3 days 09:49:00.000000000,103
5509,0 days 12:09:00.000000000,103
5510,3 days 14:08:00.000000000,103
5511,4 days 06:47:00.000000000,103
5512,0 days 02:15:00.000000000,103
5513,4 days 04:33:00.000000000,103
5514,4 days 21:19:00.000000000,103
5515,6 days 03:15:00.000000000,103
5516,5 days 00:22:00.000000000,103
5517,4 days 21:04:00.000000000,103
5518,0 days 11:18:00.000000000,103
5519,0 days 11:26:00.000000000,103
5520,7 days 01:00:00.000000000,103
5521,5 days 00:26:00.000000000,103
5522,3 days 11:57:00.000000000,103
5523,0 days 10:36:00.000000000,103
5524,4 days 21:36:00.000000000,103
5525,0 days 11:47:00.000000000,103
5526,0 days 04:25:00.000000000,103
5527,3 days 08:49:00.000000000,103
5528,4 days 22:43:00.000000000,103
5529,3 days 09:48:00.000000000,103
5530,4 days 02:47:00.000000000,103
5531,4 days 19:47:00.000000000,103
5532,6 days 00:50:00.000000000,103
5533,6 days 00:10:00.000000000,103
5534,3 days 14:48:00.000000000,103
5535,4 days 07:55:00.000000000,103
5536,0 days 11:43:00.000000000,103
5537,0 days 12:02:00.000000000,103
5538,4 days 19:54:00.000000000,103
5539,4 days 04:56:00.000000000,103
5540,3 days 10:08:00.000000000,103
5541,4 days 23:33:00.000000000,103
5542,6 days 02:10:00.000000000,103
5543,4 days 19:18:00.000000000,103
5544,5 days 16:30:00.000000000,103
5545,4 days 03:26:00.000000000,103
5546,3 days 10:17:00.000000000,102
5547,4 days 23:52:00.000000000,102
5548,4 days 19:49:00.000000000,102
5549,4 days 23:46:00.000000000,102
5550,3 days 12:21:00.000000000,102
5551,3 days 14:21:00.000000000,102
5552,4 days 22:04:00.000000000,102
5553,4 days 02:59:00.000000000,102
5554,3 days 18:47:00.000000000,102
5555,3 days 10:44:00.000000000,102
5556,0 days 12:33:00.000000000,102
5557,3 days 11:01:00.000000000,102
5558,0 days 03:50:00.000000000,102
5559,4 days 19:01:00.000000000,102
5560,4 days 23:44:00.000000000,102
5561,5 days 02:55:00.000000000,102
5562,4 days 12:15:00.000000000,102
5563,4 days 21:39:00.000000000,102
5564,3 days 13:43:00.000000000,102
5565,3 days 12:47:00.000000000,102
5566,4 days 05:11:00.000000000,102
5567,0 days 09:58:00.000000000,102
5568,4 days 04:49:00.000000000,102
5569,4 days 23:59:00.000000000,102
5570,4 days 06:08:00.000000000,102
5571,0 days 11:42:00.000000000,102
5572,4 days 22:29:00.000000000,102
5573,4 days 22:16:00.000000000,102
5574,0 days 04:11:00.000000000,102
5575,3 days 14:51:00.000000000,102
5576,4 days 04:12:00.000000000,102
5577,4 days 21:08:00.000000000,102
5578,4 days 04:48:00.000000000,102
5579,6 days 00:25:00.000000000,102
5580,4 days 06:03:00.000000000,102
5581,0 days 09:34:00.000000000,102
5582,0 days 07:40:00.000000000,102
5583,4 days 09:20:00.000000000,102
5584,4 days 19:12:00.000000000,101
5585,0 days 12:16:00.000000000,101
5586,4 days 19:22:00.000000000,101
5587,4 days 22:03:00.000000000,101
5588,4 days 21:09:00.000000000,101
5589,3 days 11:26:00.000000000,101
5590,0 days 06:10:00.000000000,101
5591,3 days 09:06:00.000000000,101
5592,4 days 14:50:00.000000000,101
5593,3 days 09:01:00.000000000,101
5594,3 days 14:47:00.000000000,101
5595,5 days 00:51:00.000000000,101
5596,3 days 16:23:00.000000000,101
5597,3 days 16:06:00.000000000,101
5598,4 days 03:27:00.000000000,101
5599,4 days 18:51:00.000000000,101
5600,4 days 06:40:00.000000000,101
5601,4 days 21:29:00.000000000,101
5602,3 days 18:21:00.000000000,101
5603,3 days 12:37:00.000000000,101
5604,6 days 19:30:00.000000000,101
5605,4 days 18:03:00.000000000,101
5606,3 days 16:29:00.000000000,101
5607,3 days 10:24:00.000000000,101
5608,4 days 17:39:00.000000000,101
5609,5 days 00:52:00.000000000,101
5610,0 days 08:17:00.000000000,101
5611,3 days 20:16:00.000000000,101
5612,5 days 19:55:00.000000000,101
5613,3 days 12:03:00.000000000,101
5614,4 days 06:55:00.000000000,101
5615,4 days 10:15:00.000000000,101
5616,3 days 14:32:00.000000000,101
5617,4 days 23:54:00.000000000,101
5618,4 days 19:23:00.000000000,101
5619,6 days 02:15:00.000000000,101
5620,4 days 22:11:00.000000000,101
5621,4 days 03:44:00.000000000,101
5622,0 days 10:43:00.000000000,101
5623,5 days 03:45:00.000000000,101
5624,3 days 15:18:00.000000000,101
5625,0 days 10:27:00.000000000,101
5626,3 days 15:23:00.000000000,101
5627,0 days 11:09:00.000000000,101
5628,3 days 11:47:00.000000000,101
5629,4 days 05:03:00.000000000,101
5630,5 days 19:35:00.000000000,101
5631,3 days 14:29:00.000000000,100
5632,4 days 17:27:00.000000000,100
5633,4 days 20:08:00.000000000,100
5634,4 days 11:30:00.000000000,100
5635,5 days 01:16:00.000000000,100
5636,5 days 20:35:00.000000000,100
5637,5 days 14:45:00.000000000,100
5638,4 days 12:20:00.000000000,100
5639,0 days 05:25:00.000000000,100
5640,6 days 19:20:00.000000000,100
5641,4 days 19:32:00.000000000,100
5642,4 days 11:45:00.000000000,100
5643,3 days 09:24:00.000000000,100
5644,4 days 08:25:00.000000000,100
5645,4 days 16:37:00.000000000,100
5646,0 days 10:33:00.000000000,100
5647,5 days 01:43:00.000000000,100
5648,5 days 02:35:00.000000000,100
5649,4 days 22:01:00.000000000,100
5650,4 days 18:41:00.000000000,100
5651,5 days 00:32:00.000000000,100
5652,3 days 12:12:00.000000000,100
5653,5 days 20:40:00.000000000,100
5654,3 days 17:09:00.000000000,100
5655,3 days 09:16:00.000000000,100
5656,5 days 19:10:00.000000000,100
5657,4 days 21:52:00.000000000,100
5658,4 days 23:19:00.000000000,100
5659,3 days 10:34:00.000000000,100
5660,0 days 12:01:00.000000000,100
5661,3 days 13:53:00.000000000,100
5662,3 days 17:06:00.000000000,100
5663,4 days 22:08:00.000000000,100
5664,4 days 23:16:00.000000000,100
5665,4 days 21:17:00.000000000,100
5666,0 days 10:47:00.000000000,100
5667,4 days 04:36:00.000000000,100
5668,4 days 08:50:00.000000000,100
5669,4 days 05:22:00.000000000,100
5670,4 days 19:56:00.000000000,100
5671,3 days 15:28:00.000000000,100
5672,5 days 18:25:00.000000000,100
5673,3 days 16:08:00.000000000,100
5674,0 days 12:08:00.000000000,100
5675,3 days 15:31:00.000000000,100
5676,4 days 08:40:00.000000000,100
5677,3 days 14:12:00.000000000,100
5678,4 days 22:41:00.000000000,100
5679,4 days 20:46:00.000000000,100
5680,0 days 06:23:00.000000000,100
5681,0 days 11:24:00.000000000,100
5682,4 days 05:28:00.000000000,99
5683,4 days 21:59:00.000000000,99
5684,5 days 18:35:00.000000000,99
5685,4 days 23:38:00.000000000,99
5686,4 days 05:26:00.000000000,99
5687,4 days 01:56:00.000000000,99
5688,3 days 14:58:00.000000000,99
5689,0 days 10:57:00.000000000,99
5690,4 days 20:13:00.000000000,99
5691,3 days 11:11:00.000000000,99
5692,4 days 06:23:00.000000000,99
5693,6 days 00:05:00.000000000,99
5694,5 days 00:17:00.000000000,99
5695,0 days 11:06:00.000000000,99
5696,0 days 09:21:00.000000000,99
5697,3 days 16:21:00.000000000,99
5698,4 days 20:29:00.000000000,99
5699,4 days 03:18:00.000000000,99
5700,4 days 05:32:00.000000000,99
5701,5 days 00:23:00.000000000,99
5702,0 days 07:27:00.000000000,99
5703,0 days 10:37:00.000000000,99
5704,3 days 13:52:00.000000000,99
5705,0 days 10:32:00.000000000,99
5706,5 days 04:50:00.000000000,99
5707,3 days 09:28:00.000000000,99
5708,0 days 11:33:00.000000000,99
5709,3 days 15:59:00.000000000,99
5710,4 days 21:48:00.000000000,99
5711,3 days 18:54:00.000000000,99
5712,5 days 02:19:00.000000000,99
5713,0 days 12:34:00.000000000,99
5714,4 days 18:29:00.000000000,99
5715,0 days 11:51:00.000000000,99
5716,4 days 04:13:00.000000000,99
5717,5 days 00:29:00.000000000,99
5718,3 days 11:37:00.000000000,99
5719,3 days 12:33:00.000000000,99
5720,4 days 21:12:00.000000000,99
5721,3 days 12:44:00.000000000,99
5722,5 days 17:45:00.000000000,99
5723,4 days 04:44:00.000000000,99
5724,4 days 22:19:00.000000000,99
5725,4 days 04:42:00.000000000,99
5726,4 days 19:34:00.000000000,99
5727,0 days 09:03:00.000000000,99
5728,3 days 08:46:00.000000000,99
5729,6 days 20:50:00.000000000,99
5730,0 days 06:35:00.000000000,99
5731,4 days 03:23:00.000000000,99
5732,3 days 10:11:00.000000000,99
5733,0 days 01:30:00.000000000,99
5734,0 days 11:36:00.000000000,99
5735,3 days 12:39:00.000000000,99
5736,3 days 09:29:00.000000000,99
5737,4 days 21:02:00.000000000,99
5738,4 days 23:41:00.000000000,99
5739,3 days 14:56:00.000000000,99
5740,4 days 03:53:00.000000000,99
5741,5 days 01:23:00.000000000,99
5742,5 days 03:20:00.000000000,98
5743,4 days 21:01:00.000000000,98
5744,4 days 03:58:00.000000000,98
5745,4 days 06:13:00.000000000,98
5746,4 days 12:00:00.000000000,98
5747,0 days 12:23:00.000000000,98
5748,4 days 20:01:00.000000000,98
5749,4 days 22:22:00.000000000,98
5750,4 days 18:56:00.000000000,98
5751,5 days 00:48:00.000000000,98
5752,5 days 01:04:00.000000000,98
5753,4 days 07:49:00.000000000,98
5754,4 days 23:12:00.000000000,98
5755,3 days 10:47:00.000000000,98
5756,4 days 22:47:00.000000000,98
5757,5 days 07:45:00.000000000,98
5758,3 days 12:04:00.000000000,98
5759,3 days 18:01:00.000000000,98
5760,5 days 16:25:00.000000000,98
5761,4 days 04:03:00.000000000,98
5762,3 days 10:29:00.000000000,98
5763,4 days 16:05:00.000000000,98
5764,6 days 22:10:00.000000000,98
5765,4 days 19:19:00.000000000,98
5766,3 days 09:52:00.000000000,98
5767,5 days 05:15:00.000000000,98
5768,6 days 02:40:00.000000000,98
5769,0 days 12:41:00.000000000,98
5770,0 days 10:14:00.000000000,98
5771,4 days 04:23:00.000000000,98
5772,4 days 04:14:00.000000000,98
5773,0 days 11:23:00.000000000,98
5774,5 days 15:45:00.000000000,98
5775,0 days 10:26:00.000000000,98
5776,4 days 11:40:00.000000000,98
5777,4 days 23:34:00.000000000,98
5778,5 days 17:40:00.000000000,98
5779,4 days 17:52:00.000000000,98
5780,4 days 20:48:00.000000000,98
5781,6 days 00:06:00.000000000,98
5782,3 days 10:16:00.000000000,98
5783,4 days 16:35:00.000000000,98
5784,0 days 05:18:00.000000000,98
5785,5 days 00:28:00.000000000,98
5786,5 days 22:55:00.000000000,98
5787,5 days 04:20:00.000000000,98
5788,3 days 12:56:00.000000000,98
5789,4 days 08:45:00.000000000,98
5790,3 days 13:13:00.000000000,98
5791,4 days 05:59:00.000000000,98
5792,3 days 10:22:00.000000000,98
5793,5 days 23:10:00.000000000,98
5794,4 days 11:50:00.000000000,98
5795,4 days 05:44:00.000000000,98
5796,3 days 10:13:00.000000000,98
5797,4 days 04:04:00.000000000,98
5798,6 days 21:10:00.000000000,98
5799,3 days 16:24:00.000000000,98
5800,5 days 01:19:00.000000000,97
5801,4 days 20:02:00.000000000,97
5802,4 days 23:07:00.000000000,97
5803,4 days 20:51:00.000000000,97
5804,0 days 02:55:00.000000000,97
5805,3 days 15:09:00.000000000,97
5806,5 days 19:05:00.000000000,97
5807,6 days 21:35:00.000000000,97
5808,5 days 00:42:00.000000000,97
5809,0 days 02:00:00.000000000,97
5810,0 days 05:47:00.000000000,97
5811,5 days 19:20:00.000000000,97
5812,4 days 17:19:00.000000000,97
5813,3 days 17:19:00.000000000,97
5814,0 days 10:29:00.000000000,97
5815,4 days 18:01:00.000000000,97
5816,3 days 15:51:00.000000000,97
5817,4 days 21:26:00.000000000,97
5818,4 days 15:25:00.000000000,97
5819,4 days 23:49:00.000000000,97
5820,4 days 22:32:00.000000000,97
5821,4 days 17:47:00.000000000,97
5822,4 days 06:24:00.000000000,97
5823,3 days 13:28:00.000000000,97
5824,3 days 10:21:00.000000000,97
5825,3 days 15:04:00.000000000,97
5826,3 days 13:17:00.000000000,97
5827,3 days 11:12:00.000000000,97
5828,4 days 17:23:00.000000000,97
5829,0 days 10:54:00.000000000,97
5830,4 days 10:05:00.000000000,97
5831,4 days 04:31:00.000000000,97
5832,0 days 08:59:00.000000000,97
5833,0 days 11:32:00.000000000,97
5834,0 days 09:11:00.000000000,97
5835,4 days 19:37:00.000000000,97
5836,5 days 20:05:00.000000000,97
5837,5 days 02:32:00.000000000,97
5838,4 days 18:04:00.000000000,97
5839,5 days 01:31:00.000000000,97
5840,5 days 00:04:00.000000000,97
5841,4 days 22:36:00.000000000,97
5842,0 days 09:24:00.000000000,97
5843,3 days 13:48:00.000000000,97
5844,3 days 11:52:00.000000000,97
5845,0 days 03:10:00.000000000,97
5846,4 days 20:42:00.000000000,97
5847,5 days 02:03:00.000000000,97
5848,0 days 09:59:00.000000000,97
5849,3 days 16:17:00.000000000,97
5850,0 days 09:26:00.000000000,97
5851,4 days 03:24:00.000000000,97
5852,4 days 22:39:00.000000000,97
5853,4 days 19:39:00.000000000,97
5854,4 days 23:01:00.000000000,97
5855,3 days 11:53:00.000000000,97
5856,4 days 18:43:00.000000000,97
5857,0 days 10:31:00.000000000,97
5858,4 days 07:18:00.000000000,96
5859,4 days 15:10:00.000000000,96
5860,4 days 21:58:00.000000000,96
5861,5 days 02:26:00.000000000,96
5862,3 days 14:43:00.000000000,96
5863,0 days 11:01:00.000000000,96
5864,3 days 14:46:00.000000000,96
5865,0 days 09:07:00.000000000,96
5866,4 days 15:55:00.000000000,96
5867,5 days 20:25:00.000000000,96
5868,4 days 06:01:00.000000000,96
5869,0 days 05:55:00.000000000,96
5870,3 days 15:42:00.000000000,96
5871,3 days 12:51:00.000000000,96
5872,4 days 19:59:00.000000000,96
5873,6 days 21:00:00.000000000,96
5874,4 days 21:38:00.000000000,96
5875,4 days 23:36:00.000000000,96
5876,3 days 12:38:00.000000000,96
5877,6 days 01:10:00.000000000,96
5878,4 days 04:24:00.000000000,96
5879,5 days 01:27:00.000000000,96
5880,5 days 03:55:00.000000000,96
5881,0 days 10:28:00.000000000,96
5882,3 days 10:37:00.000000000,96
5883,4 days 23:14:00.000000000,96
5884,4 days 03:57:00.000000000,96
5885,3 days 11:09:00.000000000,96
5886,3 days 15:11:00.000000000,96
5887,3 days 10:46:00.000000000,96
5888,5 days 00:43:00.000000000,96
5889,4 days 19:48:00.000000000,96
5890,0 days 11:38:00.000000000,96
5891,6 days 04:30:00.000000000,96
5892,5 days 04:25:00.000000000,96
5893,4 days 08:55:00.000000000,96
5894,5 days 01:57:00.000000000,96
5895,4 days 20:36:00.000000000,96
5896,4 days 06:37:00.000000000,96
5897,4 days 09:45:00.000000000,96
5898,3 days 12:36:00.000000000,96
5899,3 days 15:21:00.000000000,96
5900,4 days 18:07:00.000000000,96
5901,3 days 13:38:00.000000000,96
5902,5 days 17:00:00.000000000,96
5903,4 days 22:07:00.000000000,96
5904,4 days 20:09:00.000000000,96
5905,4 days 20:22:00.000000000,96
5906,3 days 12:28:00.000000000,96
5907,0 days 03:15:00.000000000,96
5908,0 days 01:40:00.000000000,96
5909,3 days 16:33:00.000000000,96
5910,3 days 12:46:00.000000000,96
