,index,hours_from_admission_to_death_epic
0,,1449102
1,191.98333333333332,21
2,71.98333333333333,21
3,47.983333333333334,21
4,143.98333333333332,20
5,95.98333333333333,19
6,23.983333333333334,18
7,383.98333333333335,18
8,311.98333333333335,18
9,215.98333333333332,17
10,119.98333333333333,17
11,719.9833333333333,15
12,167.98333333333332,15
13,359.98333333333335,15
14,551.9833333333333,15
15,335.98333333333335,14
16,11.0,13
17,431.98333333333335,13
18,527.9833333333333,12
19,575.9833333333333,12
20,887.9833333333333,12
21,503.98333333333335,12
22,239.98333333333332,11
23,263.98333333333335,11
24,695.9833333333333,11
25,9.75,10
26,455.98333333333335,10
27,287.98333333333335,10
28,5.0,10
29,152.0,10
30,863.9833333333333,10
31,7.75,10
32,8.0,9
33,9.366666666666667,9
34,2039.9833333333333,9
35,815.9833333333333,9
36,791.9833333333333,9
37,839.9833333333333,9
38,599.9833333333333,9
39,983.9833333333333,9
40,6.083333333333333,9
41,1775.9833333333333,8
42,407.98333333333335,8
43,1655.9833333333333,8
44,105.0,8
45,31.0,8
46,4079.983333333333,8
47,583.0,8
48,1271.9833333333333,8
49,1391.9833333333333,8
50,1103.9833333333333,8
51,13.5,7
52,30.75,7
53,36.25,7
54,223.46666666666667,7
55,767.9833333333333,7
56,10.45,7
57,959.9833333333333,7
58,33.0,7
59,29.266666666666666,7
60,10.5,7
61,34.0,7
62,671.9833333333333,7
63,123.0,7
64,8.9,7
65,1823.9833333333333,7
66,34.75,7
67,9.0,7
68,2735.983333333333,7
69,7.8,7
70,171.0,7
71,8.5,7
72,551.0,7
73,1631.9833333333333,7
74,743.9833333333333,7
75,479.98333333333335,7
76,127.0,7
77,623.9833333333333,7
78,2807.983333333333,7
79,444.25,7
80,5.416666666666667,7
81,35.5,7
82,1295.9833333333333,7
83,679.0,6
84,7.283333333333333,6
85,11.75,6
86,103.0,6
87,79.91666666666667,6
88,106.91666666666667,6
89,9.25,6
90,1511.9833333333333,6
91,9.833333333333334,6
92,32.75,6
93,225.0,6
94,31.55,6
95,7.25,6
96,2279.983333333333,6
97,80.58333333333333,6
98,388.5,6
99,295.5,6
100,6.866666666666666,6
101,7.566666666666666,6
102,1559.9833333333333,6
103,5.6,6
104,124.5,6
105,9.433333333333334,6
106,195.33333333333334,6
107,151.0,6
108,104.75,6
109,10.1,6
110,2447.983333333333,6
111,268.4166666666667,6
112,1760.75,6
113,31.75,6
114,194.66666666666666,6
115,94.75,6
116,1367.9833333333333,6
117,56.0,6
118,1203.25,6
119,417.0,6
120,10.25,6
121,79.75,6
122,268.55,6
123,1031.9833333333333,6
124,8.25,6
125,298.0,6
126,2591.983333333333,6
127,319.73333333333335,6
128,2159.983333333333,6
129,7.083333333333333,6
130,10.233333333333333,6
131,1199.9833333333333,6
132,1895.9833333333333,6
133,224.75,6
134,9.383333333333333,6
135,458.1666666666667,6
136,173.0,6
137,80.06666666666666,6
138,2135.983333333333,6
139,2471.983333333333,6
140,415.75,6
141,73.83333333333333,6
142,1007.9833333333333,6
143,11.416666666666666,6
144,198.7,6
145,1175.9833333333333,6
146,33.5,6
147,10.0,6
148,130.0,6
149,13.0,6
150,1079.9833333333333,6
151,5.033333333333333,5
152,647.9833333333333,5
153,54.75,5
154,11.466666666666667,5
155,53.36666666666667,5
156,296.8333333333333,5
157,4.5,5
158,339.5,5
159,2521.75,5
160,149.41666666666666,5
161,992.0,5
162,226.25,5
163,29.616666666666667,5
164,7055.983333333334,5
165,61.25,5
166,412.1333333333333,5
167,205.0,5
168,433.98333333333335,5
169,368.53333333333336,5
170,5.55,5
171,78.86666666666666,5
172,7631.983333333334,5
173,34.733333333333334,5
174,54.9,5
175,442.75,5
176,26.666666666666668,5
177,57.5,5
178,175.75,5
179,436.0,5
180,50.25,5
181,81.5,5
182,57.0,5
183,152.85,5
184,28.383333333333333,5
185,8.966666666666667,5
186,225.25,5
187,33.75,5
188,121.5,5
189,129.98333333333332,5
190,77.56666666666666,5
191,31.25,5
192,79.5,5
193,7.9,5
194,168.16666666666666,5
195,6.75,5
196,7.233333333333333,5
197,59.75,5
198,324.5,5
199,4247.983333333334,5
200,23.5,5
201,4031.983333333333,5
202,12.4,5
203,222.66666666666666,5
204,7.0,5
205,462.0,5
206,7079.983333333334,5
207,242.28333333333333,5
208,8.033333333333333,5
209,30.05,5
210,34.13333333333333,5
211,2147.75,5
212,269.6333333333333,5
213,26.7,5
214,33.833333333333336,5
215,32.55,5
216,149.18333333333334,5
217,228.9,5
218,387.0,5
219,1463.9833333333333,5
220,7.183333333333334,5
221,74.56666666666666,5
222,31.816666666666666,5
223,3.3333333333333335,5
224,608.75,5
225,12.266666666666667,5
226,3.6,5
227,314.3333333333333,5
228,5327.983333333334,5
229,2.65,5
230,146.65,5
231,347.75,5
232,199.93333333333334,5
233,3671.983333333333,5
234,369.75,5
235,31.316666666666666,5
236,98.66666666666667,5
237,409.5,5
238,172.16666666666666,5
239,226.0,5
240,199.36666666666667,5
241,29.55,5
242,4.65,5
243,145.75,5
244,222.0,5
245,270.6,5
246,51.5,5
247,2.8666666666666667,5
248,248.75,5
249,4.3,5
250,888.75,5
251,9.5,5
252,78.5,5
253,59.5,5
254,96.0,5
255,1751.9833333333333,5
256,701.0833333333334,5
257,0.38333333333333336,5
258,890.7166666666667,5
259,125.3,5
260,11.45,5
261,319.8,5
262,536.0,5
263,218.83333333333334,5
264,4151.983333333334,5
265,5.7,5
266,52.25,5
267,11.65,5
268,203.5,5
269,123.91666666666667,5
270,270.55,5
271,103.25,5
272,5.066666666666666,5
273,4463.983333333334,5
274,4631.983333333334,5
275,2375.983333333333,5
276,752.0,5
277,5.666666666666667,5
278,55.2,5
279,3119.983333333333,5
280,104.25,5
281,78.76666666666667,5
282,128.38333333333333,5
283,537.25,5
284,32.06666666666667,5
285,750.0,5
286,81.0,5
287,59.2,5
288,53.25,5
289,55.65,5
290,6.0,5
291,343.18333333333334,5
292,29.766666666666666,5
293,192.41666666666666,5
294,535.75,5
295,101.75,5
296,4991.983333333334,5
297,55.0,5
298,341.55,5
299,153.25,5
300,295.0,5
301,4199.983333333334,5
302,4.166666666666667,5
303,488.75,5
304,11.233333333333333,5
305,6.95,5
306,82.0,5
307,6.25,5
308,606.3666666666667,5
309,346.1166666666667,5
310,7.033333333333333,5
311,1439.9833333333333,5
312,481.5,5
313,175.31666666666666,5
314,80.5,5
315,129.5,5
316,802.0,5
317,201.75,5
318,460.75,5
319,3023.983333333333,5
320,248.25,5
321,247.53333333333333,5
322,226.75,5
323,701.2166666666667,5
324,29.416666666666668,5
325,5.5,5
326,490.28333333333336,5
327,125.5,5
328,4223.983333333334,5
329,191.75,5
330,9.733333333333333,5
331,8.616666666666667,5
332,439.3333333333333,5
333,31.9,5
334,608.0,5
335,556.8333333333334,5
336,1967.9833333333333,5
337,384.0,5
338,411.0,5
339,78.91666666666667,5
340,61.75,5
341,9.716666666666667,5
342,911.9833333333333,5
343,6.433333333333334,5
344,77.75,5
345,5.15,5
346,7.3,5
347,6.85,5
348,0.0,5
349,5.25,5
350,3239.983333333333,5
351,130.5,5
352,318.3333333333333,5
353,2073.0,5
354,7.583333333333333,5
355,8.916666666666666,5
356,31.016666666666666,5
357,8975.983333333334,5
358,6383.983333333334,5
359,703.0,5
360,15959.983333333334,4
361,4.433333333333334,4
362,338.0,4
363,248.33333333333334,4
364,5159.983333333334,4
365,8574.25,4
366,1226.6,4
367,219.33333333333334,4
368,3994.25,4
369,128.91666666666666,4
370,106.0,4
371,19.75,4
372,1252.25,4
373,12.533333333333333,4
374,6442.5,4
375,6.65,4
376,1055.9833333333333,4
377,336.56666666666666,4
378,5.316666666666666,4
379,368.6,4
380,678.7666666666667,4
381,197.53333333333333,4
382,28.916666666666668,4
383,172.8,4
384,2.75,4
385,57.45,4
386,793.1666666666666,4
387,30.683333333333334,4
388,5.683333333333334,4
389,6551.983333333334,4
390,48.95,4
391,171.03333333333333,4
392,610.5,4
393,751.25,4
394,3407.983333333333,4
395,413.3833333333333,4
396,1860.1,4
397,898.5,4
398,1991.9833333333333,4
399,150.71666666666667,4
400,1521.0,4
401,483.0,4
402,1285.5833333333333,4
403,2357.5,4
404,1039.25,4
405,197.75,4
406,1331.05,4
407,52.11666666666667,4
408,728.0,4
409,270.18333333333334,4
410,264.5,4
411,654.75,4
412,500.0,4
413,1487.25,4
414,10.6,4
415,104.0,4
416,629.75,4
417,1799.9833333333333,4
418,508.6333333333333,4
419,10.75,4
420,33.53333333333333,4
421,81.08333333333333,4
422,31.966666666666665,4
423,99.5,4
424,533.25,4
425,442.1333333333333,4
426,748.25,4
427,1.4666666666666666,4
428,227.33333333333334,4
429,151.33333333333334,4
430,31.5,4
431,7.483333333333333,4
432,84.5,4
433,77.03333333333333,4
434,391.3833333333333,4
435,576.0,4
436,194.58333333333334,4
437,105.88333333333334,4
438,7.05,4
439,56.483333333333334,4
440,9.316666666666666,4
441,14471.983333333334,4
442,126.5,4
443,315.1333333333333,4
444,535.35,4
445,201.33333333333334,4
446,3273.0,4
447,4.05,4
448,630.5833333333334,4
449,392.31666666666666,4
450,747.5,4
451,516.35,4
452,192.75,4
453,32.5,4
454,29.75,4
455,34.55,4
456,3875.5,4
457,3.783333333333333,4
458,348.0,4
459,34.95,4
460,242.76666666666668,4
461,1134.0,4
462,5.233333333333333,4
463,314.71666666666664,4
464,561.1666666666666,4
465,198.83333333333334,4
466,7.383333333333334,4
467,6.216666666666667,4
468,6.233333333333333,4
469,443.68333333333334,4
470,78.15,4
471,4426.5,4
472,699.5,4
473,52.4,4
474,10.85,4
475,11.15,4
476,821.25,4
477,10.033333333333333,4
478,77.88333333333334,4
479,24.65,4
480,8303.983333333334,4
481,440.6666666666667,4
482,54.88333333333333,4
483,1688.25,4
484,1662.6833333333334,4
485,348.45,4
486,127.75,4
487,57.65,4
488,2168.5,4
489,101.85,4
490,1535.9833333333333,4
491,81.03333333333333,4
492,171.06666666666666,4
493,182.01666666666668,4
494,79.58333333333333,4
495,52.0,4
496,391.75,4
497,2183.983333333333,4
498,1.1833333333333333,4
499,34.31666666666667,4
500,4775.983333333334,4
501,627.75,4
502,123.86666666666666,4
503,314.8666666666667,4
504,490.0833333333333,4
505,276.5,4
506,301.0,4
507,224.25,4
508,31.183333333333334,4
509,8.75,4
510,171.91666666666666,4
511,82.81666666666666,4
512,3.6333333333333333,4
513,339.5833333333333,4
514,7.366666666666666,4
515,177.0,4
516,2783.983333333333,4
517,126.6,4
518,388.4166666666667,4
519,342.5,4
520,193.58333333333334,4
521,218.28333333333333,4
522,123.5,4
523,131.51666666666668,4
524,1849.8166666666666,4
525,537.1666666666666,4
526,220.93333333333334,4
527,1348.5833333333333,4
528,11.666666666666666,4
529,611.05,4
530,71.63333333333334,4
531,2428.5,4
532,150.9,4
533,33.666666666666664,4
534,74.38333333333334,4
535,7.916666666666667,4
536,356.8333333333333,4
537,7.733333333333333,4
538,7.616666666666666,4
539,701.5,4
540,79.85,4
541,154.75,4
542,1230.0,4
543,7.816666666666666,4
544,54.25,4
545,2615.983333333333,4
546,95.75,4
547,199.56666666666666,4
548,102.75,4
549,729.5,4
550,725.8833333333333,4
551,120.0,4
552,896.1666666666666,4
553,4.383333333333334,4
554,104.63333333333334,4
555,9.65,4
556,247.9,4
557,62.5,4
558,31.616666666666667,4
559,2951.983333333333,4
560,3098.0,4
561,291.95,4
562,317.5833333333333,4
563,97.36666666666666,4
564,125.16666666666667,4
565,778.5,4
566,965.0,4
567,676.5,4
568,6826.0,4
569,106.58333333333333,4
570,511.75,4
571,799.25,4
572,102.48333333333333,4
573,339.0,4
574,218.05,4
575,552.25,4
576,3.683333333333333,4
577,147.78333333333333,4
578,37.8,4
579,225.83333333333334,4
580,216.75,4
581,130.85,4
582,4919.983333333334,4
583,8.183333333333334,4
584,1319.9833333333333,4
585,80.2,4
586,247.76666666666668,4
587,174.75,4
588,364.25,4
589,19.633333333333333,4
590,583.8666666666667,4
591,404.25,4
592,408.0,4
593,511.8833333333333,4
594,8.933333333333334,4
595,125.91666666666667,4
596,252.0,4
597,199.81666666666666,4
598,153.66666666666666,4
599,31.233333333333334,4
600,53.78333333333333,4
