,index,primary_diagnosis_code
0,V3000,32772
1,Z3800,23612
2,78659,23090
3,R0789,16615
4,A419,15630
5,78650,14295
6,486,14217
7,42731,13768
8,V3001,13750
9,5849,13334
10,V5789,12961
11,0389,12900
12,R079,12472
13,71536,12303
14,N179,10984
15,J441,10798
16,49121,10248
17,Z3801,9766
18,5990,9730
19,41401,9463
20,7802,8848
21,71535,8747
22,J189,8655
23,I130,8544
24,49322,7964
25,41071,7486
26,R55,7364
27,N390,6495
28,6826,6345
29,I110,6231
30,43491,6183
31,42833,5906
32,42823,5775
33,56211,5673
34,4241,5638
35,I214,5616
36,F332,5484
37,27651,5451
38,64511,5339
39,65421,5338
40,5770,5331
41,29633,4677
42,99859,4642
43,I480,4623
44,M1711,4608
45,5070,4562
46,41519,4462
47,51881,4444
48,M1712,4364
49,M1611,4280
50,F10239,4089
51,27801,4071
52,49392,4066
53,E860,4062
54,42843,4040
55,V5811,3998
56,O480,3963
57,7804,3851
58,J440,3763
59,4280,3760
60,66411,3707
61,5609,3696
62,M1612,3625
63,00845,3581
64,5789,3531
65,29570,3527
66,4240,3522
67,185,3511
68,29181,3472
69,J690,3433
70,R42,3403
71,78039,3318
72,V552,3211
73,I481,3206
74,I2699,3138
75,5409,3119
76,4359,3072
77,45341,3066
78,E6601,3048
79,5921,2983
80,I25110,2923
81,66401,2894
82,J9621,2869
83,T814XXA,2854
84,64891,2841
85,I350,2829
86,J9601,2749
87,65971,2728
88,4019,2659
89,I639,2561
90,K5732,2546
91,42789,2534
92,29530,2530
93,2761,2512
94,Z5111,2506
95,C61,2488
96,25013,2481
97,R569,2476
98,Z432,2473
99,5589,2468
100,65961,2463
101,L03115,2445
102,L03116,2430
103,3310,2417
104,I4891,2410
105,J45901,2403
106,34590,2387
107,78900,2381
108,G459,2343
109,78701,2316
110,N132,2313
111,F200,2310
112,51884,2275
113,25080,2275
114,R531,2265
115,78097,2264
116,99664,2246
117,K921,2245
118,43310,2244
119,72402,2240
120,1890,2230
121,K529,2209
122,78060,2206
123,I5033,2205
124,O34211,2201
125,K922,2171
126,82021,2147
127,72210,2101
128,I5023,2083
129,57400,2075
130,A4151,2061
131,E1010,2046
132,43411,2043
133,I5043,2043
134,I160,2007
135,78909,2004
136,J101,1977
137,49122,1965
138,I340,1957
139,78906,1948
140,I132,1925
141,7840,1903
142,unkn,1899
143,R112,1884
144,E1165,1881
145,I2510,1879
146,4271,1865
147,5920,1860
148,5781,1846
149,64893,1840
150,99666,1804
151,55321,1793
152,34551,1788
153,56081,1766
154,4580,1758
155,M4806,1751
156,K5720,1699
157,F259,1686
158,71596,1685
159,56212,1666
160,2859,1649
161,E871,1648
162,42732,1636
163,03842,1630
164,K5660,1629
165,K3580,1627
166,O99824,1622
167,40391,1617
168,O76,1615
169,K8590,1612
170,I120,1604
171,2189,1595
172,40491,1557
173,7211,1542
174,99749,1511
175,G40119,1499
176,78605,1484
177,R509,1473
178,I951,1471
179,6823,1470
180,99932,1462
181,R4182,1461
182,R0602,1451
183,29632,1450
184,431,1445
185,5693,1443
186,4414,1429
187,2989,1424
188,G40909,1422
189,V3101,1419
190,5722,1403
191,78079,1398
192,59080,1393
193,0088,1388
194,28800,1374
195,65811,1373
196,1623,1367
197,2809,1365
198,99674,1361
199,T83511A,1350
200,R1013,1349
201,99673,1333
202,6822,1326
203,E875,1311
204,V5481,1299
205,1541,1297
206,A047,1292
207,5119,1281
208,F329,1274
209,28262,1267
210,56400,1267
211,F333,1261
212,R51,1258
213,57410,1250
214,I10,1242
215,29634,1240
216,O4292,1238
217,7820,1238
218,2768,1226
219,1983,1225
220,K7290,1224
221,O4202,1223
222,T80211A,1222
223,R109,1221
224,29534,1217
225,64881,1215
226,71595,1210
227,5550,1207
228,29421,1198
229,5569,1195
230,K8000,1193
231,78791,1186
232,1749,1182
233,46611,1181
234,O3421,1181
235,42781,1180
236,03849,1178
237,99661,1178
238,4589,1175
239,42831,1170
240,K430,1168
241,T827XXA,1154
242,M170,1138
243,29620,1137
244,K7031,1131
245,E11649,1129
246,2767,1129
247,I471,1126
248,2851,1123
249,72888,1115
250,7851,1112
251,4660,1108
252,66331,1107
253,I472,1101
254,4412,1097
255,82009,1095
256,O701,1094
257,J210,1091
258,55221,1089
259,5712,1076
260,99811,1075
261,56969,1071
262,65221,1070
263,5559,1069
264,78651,1064
265,D509,1053
266,7213,1053
267,C20,1037
268,9951,1030
269,6820,1030
270,O700,1027
271,6827,1027
272,25012,1023
273,25002,1022
274,5601,1017
275,Q231,1016
276,1629,1015
277,46619,1009
278,I25119,1006
279,D649,997
280,45342,997
281,29689,996
282,99662,995
283,C7931,994
284,K353,994
285,65651,992
286,64403,989
287,K625,987
288,K5731,985
289,0380,984
290,5845,982
291,78903,980
292,650,976
293,4871,972
294,99681,972
295,J90,971
296,99647,962
297,N12,961
298,K432,959
299,64421,959
300,1820,957
301,N170,955
302,34550,954
303,41041,952
304,5780,951
305,71531,951
306,K9189,948
307,71516,940
308,1985,938
309,2113,934
310,78901,931
311,R002,930
312,E1169,925
313,9961,916
314,I714,916
315,64231,915
316,8208,912
317,T82868A,909
318,2920,908
319,D62,907
320,5552,906
321,T783XXA,906
322,I959,902
323,29623,901
324,Z3831,901
325,I712,900
326,5579,894
327,1977,894
328,6824,893
329,73313,890
330,42821,889
331,I4892,889
332,3383,888
333,M4712,888
334,59010,887
335,G40109,885
336,99671,882
337,D5700,881
338,340,879
339,5533,877
340,O134,876
341,5363,874
342,J209,873
343,4373,866
344,F331,866
345,44024,865
346,K565,858
347,K920,857
348,29650,857
349,53550,849
350,95901,848
351,G40409,848
352,E1152,844
353,2910,842
354,A4159,841
355,25082,839
356,A084,837
357,4659,836
358,T8351XA,835
359,99684,834
360,60001,831
361,M167,828
362,J9622,825
363,1889,824
364,29680,816
365,2800,814
366,78609,814
367,7384,813
368,E876,812
369,34541,812
370,53081,810
371,99642,810
372,53140,808
373,5715,802
374,99641,801
375,N3000,801
376,O321XX0,800
377,1976,799
378,R001,796
379,57420,795
380,311,795
381,S72142A,791
382,72989,784
383,G301,783
384,29653,782
385,25060,781
386,99812,780
387,O365930,779
388,7242,778
389,72403,773
390,5750,771
391,1625,770
392,73342,768
393,C7951,768
394,2536,768
395,R1084,765
396,43311,765
397,5362,764
398,K449,759
399,K5900,759
400,27669,754
401,J219,751
402,E1310,749
403,M6282,749
404,9694,743
405,44023,739
406,8054,739
407,C641,731
408,56089,729
409,41011,726
410,D500,723
411,99649,723
412,R072,721
413,C787,721
414,566,719
415,2252,717
416,40390,716
417,29590,715
418,C786,714
419,515,714
420,34690,713
421,99672,713
422,M545,712
423,O26893,711
424,42511,710
425,S72141A,710
426,Z471,709
427,4417,708
428,41400,707
429,I421,702
430,K859,702
431,4260,702
432,38611,695
433,1830,694
434,34591,693
435,F250,693
436,L03113,692
437,G893,690
438,430,690
439,I482,689
440,72252,684
441,7847,683
442,66481,683
443,V5889,680
444,34510,679
445,C642,679
446,K56609,679
447,53240,679
448,25062,679
449,1970,679
450,T83518A,679
451,4239,672
452,193,671
453,65661,669
454,T82857A,668
455,8082,665
456,5566,665
457,D709,665
458,K254,664
459,44101,664
460,G20,662
461,C679,657
462,E11621,654
463,N200,653
464,A0472,653
465,J36,650
466,71515,650
467,M4316,649
468,4210,649
469,99931,648
470,1570,647
471,59971,644
472,J069,643
473,I161,643
474,F319,642
475,R1011,641
476,C3411,639
477,99669,638
478,475,637
479,4870,634
480,R1031,634
481,7295,634
482,5771,634
483,5551,632
484,7220,630
485,03812,630
486,78904,630
487,G40219,629
488,G35,626
489,V553,624
490,29690,623
491,K8520,621
492,F0391,620
493,53540,617
494,K567,615
495,4010,612
496,M19011,611
497,F10231,610
498,M48061,610
499,5400,607
500,E222,607
501,F3181,603
502,I2119,603
503,4321,601
504,A4102,600
505,I25118,594
506,78652,593
507,7210,593
508,07999,591
509,6184,590
510,6825,590
511,L03114,588
512,R197,587
513,N401,587
514,F322,587
515,I442,586
516,6262,582
517,K8012,580
518,K3184,576
519,G9340,575
520,O6981X0,574
521,N10,574
522,33818,573
523,3320,572
524,G309,570
525,920,569
526,31234,567
527,03811,565
528,A4101,565
529,J159,564
530,M4802,563
531,5300,562
532,F314,560
533,40291,560
534,3315,559
535,O6014X0,559
536,490,556
537,M48062,556
538,99659,553
539,I63512,553
540,R310,553
541,K264,551
542,66311,551
543,3453,551
544,20300,551
545,44021,550
546,I495,549
547,I671,548
548,J4541,547
549,51289,547
550,9962,546
551,I313,545
552,49391,545
553,V3100,545
554,I82412,544
555,K2970,543
556,1533,543
557,R200,542
558,41402,540
559,34830,540
560,N136,538
561,K5190,534
562,1536,534
563,27401,534
564,49390,534
565,25000,533
566,042,533
567,T8579XA,533
568,9975,532
569,I509,531
570,29630,531
571,B349,530
572,F10129,529
573,M19012,529
574,Z433,526
575,30500,525
576,99682,521
577,C3412,521
578,5691,519
579,45340,519
580,85221,519
581,4270,517
582,I6521,516
583,L03211,515
584,I63412,514
585,I129,514
586,O9902,513
587,S0990XA,512
588,4829,510
589,O80,507
590,4168,506
591,3962,502
592,30011,501
593,29574,500
594,O770,499
595,9986,498
596,1550,497
597,K56600,496
598,29644,496
599,6185,496
600,53783,495
601,E1110,495
602,4552,495
603,K8010,494
604,I6522,493
605,78720,493
606,M5116,492
607,44022,491
608,99762,488
609,A4189,486
610,34982,485
611,5761,485
612,45981,484
613,K9423,483
614,64251,480
615,C182,480
616,H8110,478
617,R410,477
618,R040,477
619,K8020,477
620,S72012A,476
621,7907,475
622,78009,475
623,51181,475
624,K5669,474
625,56981,473
626,D259,471
627,78907,471
628,K31811,471
629,33829,471
630,28731,470
631,I5031,469
632,S065X0A,468
633,99602,467
634,99677,466
635,8052,466
636,73730,465
637,I7101,464
638,T826XXA,464
639,64241,463
640,J1000,462
641,7245,460
642,K810,459
643,K7460,459
644,25070,458
645,K50012,457
646,6202,456
647,0090,456
648,5401,455
649,29420,452
650,J050,451
651,C9000,451
652,4111,450
653,28521,449
654,K352,449
655,1911,449
656,I63411,446
657,K210,446
658,C250,446
659,96909,446
660,I82411,443
661,65801,443
662,9654,442
663,5570,441
664,K559,441
665,2273,441
666,65951,440
667,I63511,440
668,72271,439
669,O34219,439
670,I330,439
671,G8929,438
672,E8770,437
673,30391,437
674,66111,436
675,O133,436
676,56722,434
677,3094,433
678,S72011A,430
679,44422,429
680,O1414,429
681,I716,429
682,20280,428
683,7812,428
684,J181,428
685,J4551,426
686,D320,421
687,K8510,420
688,G9341,420
689,F29,419
690,C187,419
691,V580,419
692,56985,418
693,O403XX0,417
694,Z3830,417
695,O42913,416
696,7746,415
697,29640,414
698,99832,411
699,I351,411
700,8246,411
701,F39,410
702,G8918,410
703,33182,408
704,29622,408
705,71945,407
706,68100,406
707,G40419,406
708,O24420,406
709,F312,405
710,K219,404
711,64821,404
712,79092,404
713,F209,402
714,34831,402
715,99667,401
716,G92,400
717,N3001,399
718,4644,398
719,O99284,397
720,E1143,395
721,C3490,394
722,E1065,394
723,K2950,394
724,A09,394
725,53989,394
726,20500,394
727,T82898A,393
728,44103,393
729,S065X9A,392
730,J4521,392
731,1534,391
732,R1032,389
733,G43909,389
734,53642,388
735,96501,386
736,F3163,385
737,3090,385
738,29532,385
739,7244,384
740,28803,383
741,O368130,383
742,7100,383
743,K831,382
744,O24424,382
745,29663,381
746,53190,380
747,7837,379
748,1510,379
749,7823,379
750,G4089,379
751,30000,378
752,T401X1A,378
753,T8131XA,378
754,O6003,378
755,53019,376
756,75612,375
757,K623,374
758,N201,374
759,T8453XA,373
760,2411,373
761,82300,373
762,7810,372
763,2395,372
764,C541,371
765,28419,371
766,5762,371
767,53510,371
768,5934,370
769,51189,370
770,K220,370
771,F10229,369
772,2181,368
773,43889,367
774,T8454XA,367
775,K91840,367
776,97081,366
777,R7881,365
778,8244,364
779,6191,364
780,J439,364
781,F1123,363
782,K7200,362
783,4139,362
784,C3431,361
785,K047,358
786,57511,357
787,70703,356
788,51631,356
789,O1092,355
790,56979,354
791,T82858A,354
792,J40,353
793,A4181,353
794,29654,353
795,99683,352
796,65101,351
797,J449,351
798,9974,349
799,34511,348
800,1540,348
801,G912,347
802,57450,345
803,C220,345
804,O4103X0,344
805,65701,344
806,34580,344
807,I6340,344
808,I341,343
809,K222,342
810,E43,341
811,K5792,341
812,220,341
813,D61818,340
814,R202,340
815,78959,339
816,28529,339
817,I352,339
818,F3164,338
819,S2242XA,338
820,2330,337
821,K5650,337
822,E1151,337
823,R627,337
824,64683,335
825,K632,334
826,J9602,334
827,S72001A,334
828,7464,334
829,73027,333
830,F0151,333
831,L0231,332
832,I2109,331
833,30301,330
834,3963,330
835,F6381,329
836,56962,329
837,99604,328
838,D693,328
839,A4150,328
840,78002,327
841,135,327
842,S72002A,325
843,C9200,325
844,6110,325
845,99883,323
846,8505,323
847,F411,323
848,K259,322
849,K91858,322
850,25201,321
851,5303,318
852,99644,318
853,71589,318
854,F10230,318
855,J84112,317
856,66131,317
857,O99214,317
858,27542,316
859,03840,315
860,J111,314
861,5939,314
862,19889,312
863,25063,312
864,T8619,312
865,64901,311
866,56210,311
867,29624,311
868,30002,310
869,M179,310
870,F23,309
871,1579,309
872,29664,309
873,I611,307
874,D352,307
875,O3663X0,307
876,F203,306
877,M109,306
878,F0390,305
879,K5641,305
880,496,305
881,7231,305
882,56032,304
883,R000,304
884,7336,304
885,5521,304
886,42830,304
887,65251,304
888,K436,304
889,8730,303
890,5523,303
891,1912,303
892,81201,303
893,E1122,302
894,41091,302
895,I6523,301
896,J9600,301
897,I69354,301
898,5307,301
899,55010,301
900,5711,300
901,42841,299
902,2760,296
903,34600,296
904,D701,296
905,I5021,294
906,C259,292
907,5959,292
908,9351,292
909,64201,291
910,03843,291
911,R1310,290
912,V594,290
913,N202,290
914,9972,289
915,96509,288
916,82101,288
917,5772,288
918,O9912,287
919,O26892,287
920,66541,287
921,64663,286
922,O623,286
923,3482,286
924,T8612,286
925,40493,286
926,R404,286
927,9693,286
928,V5482,285
929,32723,284
930,64413,284
931,56409,283
932,S2241XA,283
933,M4856XA,283
934,K7469,283
935,S0101XA,283
936,73028,283
937,I638,282
938,F321,282
939,8404,282
940,591,281
941,78902,281
942,F4325,281
943,C19,281
944,K5090,280
945,T86818,280
946,G43109,279
947,8248,279
948,07044,279
949,34839,279
950,N131,278
951,R0781,278
952,463,277
953,3530,277
954,42822,277
955,99813,276
956,3484,276
957,72283,275
958,B20,275
959,P599,275
960,72610,275
961,65261,274
962,M160,274
963,64811,274
964,28522,274
965,64121,274
966,T8451XA,274
967,J9383,274
968,42832,273
969,F339,272
970,G40919,272
971,K50812,272
972,78703,271
973,5121,271
974,C180,270
975,4377,270
976,4439,269
977,31401,269
978,K852,269
979,0479,268
980,I483,268
981,30300,268
982,9982,268
983,34540,267
984,0388,266
985,65821,266
986,99663,265
987,56971,264
988,5225,264
989,K648,264
990,73382,264
991,I484,264
992,59970,264
993,9971,264
994,99851,263
995,R0600,263
996,I080,263
997,41031,263
998,29652,262
999,M542,262
1000,K651,262
1001,4148,261
1002,25072,261
1003,I739,260
1004,O114,260
1005,63310,260
1006,C160,260
1007,2971,260
1008,3314,260
1009,I82432,260
1010,25040,259
1011,7140,259
1012,3501,259
1013,1539,258
1014,K9589,258
1015,1888,257
1016,3968,256
1017,7230,256
1018,A4152,256
1019,K4030,255
1020,55090,255
1021,C3432,254
1022,K830,254
1023,3510,253
1024,I272,253
1025,G40901,253
1026,1906,253
1027,C711,252
1028,33819,252
1029,K861,252
1030,K5100,251
1031,F201,251
1032,R5381,251
1033,64303,251
1034,L03311,251
1035,T8452XA,251
1036,65281,251
1037,O621,251
1038,K5521,251
1039,262,251
1040,5933,251
1041,45829,250
1042,K9413,250
1043,64761,250
1044,5571,250
1045,I69351,250
1046,Z524,250
1047,K420,250
1048,N823,250
1049,5651,249
1050,1531,248
1051,6930,248
1052,I081,247
1053,42090,247
1054,5602,246
1055,4821,246
1056,43401,245
1057,68110,245
1058,5989,245
1059,I7103,245
1060,I441,244
1061,99889,244
1062,R1030,244
1063,07071,243
1064,R0902,243
1065,4254,242
1066,5641,242
1067,F419,242
1068,99769,241
1069,R188,241
1070,J849,241
1071,5768,241
1072,R600,241
1073,E8352,241
1074,51889,241
1075,I82431,240
1076,K5010,240
1077,65571,240
1078,56723,239
1079,8500,239
1080,K5000,239
1081,V5812,239
1082,E872,239
1083,42769,238
1084,4464,238
1085,T18128A,238
1086,I615,238
1087,72633,237
1088,42613,237
1089,79902,237
1090,99678,237
1091,T84020A,236
1092,71106,236
1093,49320,235
1094,M6281,235
1095,64911,235
1096,K5730,235
1097,49302,235
1098,2948,235
1099,11284,235
1100,K7040,235
1101,O9989,234
1102,7455,234
1103,N186,234
1104,9623,233
1105,K5791,233
1106,D251,233
1107,41001,233
1108,78820,233
1109,71941,233
1110,G43A0,232
1111,5109,232
1112,25081,232
1113,44020,231
1114,D61810,231
1115,M960,231
1116,53011,231
1117,G40209,231
1118,R1012,230
1119,6084,230
1120,S066X0A,230
1121,I21A1,230
1122,5272,230
1123,1748,230
1124,53290,230
1125,6821,230
1126,29284,230
1127,I2692,229
1128,C569,229
1129,M5416,228
1130,30928,228
1131,F251,228
1132,E10649,228
1133,42741,227
1134,V551,227
1135,632,227
1136,4830,226
1137,K562,226
1138,M25551,226
1139,85220,226
1140,T82897A,226
1141,T86812,226
1142,30981,225
1143,G510,225
1144,78630,224
1145,O7182,224
1146,K561,223
1147,O1494,223
1148,R042,223
1149,96500,223
1150,5856,222
1151,66101,222
1152,40300,222
1153,F315,222
1154,C221,222
1155,L02211,222
1156,S066X9A,221
1157,57451,221
1158,99831,221
1159,F323,221
1160,T8189XA,220
1161,M4722,219
1162,O9952,219
1163,9663,219
1164,K435,219
1165,O42013,218
1166,03819,218
1167,25061,218
1168,41021,218
1169,30001,217
1170,M009,217
1171,F445,217
1172,6170,217
1173,I609,216
1174,5568,216
1175,O99334,216
1176,1913,216
1177,T402X1A,216
1178,34889,216
1179,T82330A,216
1180,25022,215
1181,O99344,215
1182,4372,215
1183,29643,215
1184,64843,215
1185,G454,215
1186,78905,215
1187,R270,215
1188,7813,214
1189,C155,214
1190,570,214
1191,64313,214
1192,4423,214
1193,E1043,214
1194,K433,213
1195,C7801,213
1196,F4321,213
1197,51919,213
1198,M4854XA,213
1199,T8743,213
1200,55220,213
1201,I493,212
1202,O4703,212
1203,4928,212
1204,K8050,212
1205,K50813,212
1206,075,212
1207,J869,212
1208,71946,212
1209,T424X2A,211
1210,I5041,211
1211,25042,211
1212,23875,210
1213,29510,210
1214,27549,210
1215,I2102,210
1216,E1100,210
1217,7850,210
1218,I743,210
1219,87342,210
1220,M5126,210
1221,I4901,209
1222,A408,209
1223,85201,209
1224,A0471,209
1225,29660,208
1226,A401,208
1227,78702,207
1228,2230,207
1229,A414,207
1230,Z4733,207
1231,M4726,207
1232,53541,207
1233,78459,206
1234,K851,206
1235,T8744,206
1236,I872,206
1237,2875,205
1238,462,205
1239,1744,205
1240,57460,205
1241,2512,205
1242,R0609,205
1243,K913,205
1244,9950,205
1245,K440,205
1246,J09X2,205
1247,85011,205
1248,M5117,204
1249,0539,204
1250,K7030,204
1251,J0390,203
1252,99665,203
1253,48242,203
1254,M940,203
1255,7291,202
1256,I200,202
1257,Z421,202
1258,5600,202
1259,S32591A,202
1260,56213,201
1261,99639,201
1262,K5080,201
1263,T8484XA,201
1264,64841,200
1265,T8183XA,200
1266,M869,200
1267,77989,200
1268,O9962,199
1269,K5909,199
1270,72992,199
1271,I610,199
1272,56949,198
1273,J1008,198
1274,A409,198
1275,K5651,197
1276,64931,197
1277,C3491,196
1278,481,196
1279,K2900,196
1280,6183,196
1281,C184,196
1282,O691XX0,196
1283,64271,196
1284,N2889,195
1285,M549,195
1286,5718,195
1287,5370,195
1288,29572,194
1289,73314,194
1290,99709,194
1291,R339,194
1292,K2211,194
1293,25001,194
1294,4941,193
1295,29281,193
1296,O1413,193
1297,4232,193
1298,K521,193
1299,M25552,193
1300,F13239,193
1301,2967,193
1302,M4317,193
1303,J4531,192
1304,53649,192
1305,I81,191
1306,25541,191
1307,53500,190
1308,J471,190
1309,R791,190
1310,J9620,190
1311,7862,190
1312,3490,190
1313,6182,190
1314,7842,189
1315,S0181XA,189
1316,C719,189
1317,40411,189
1318,L02416,189
1319,T43592A,188
1320,56983,188
1321,L03011,188
1322,0383,187
1323,99679,187
1324,82022,187
1325,T796XXA,187
1326,C712,187
1327,O30043,187
1328,K611,186
1329,V510,186
1330,71591,186
1331,8220,186
1332,K9419,186
1333,53010,186
1334,1960,186
1335,1551,185
1336,99601,185
1337,T391X2A,185
1338,2396,185
1339,T84033A,185
1340,9221,184
1341,C7989,184
1342,K5901,184
1343,80502,184
1344,C8339,184
1345,C7800,184
1346,O622,184
1347,T8649,183
1348,49120,183
1349,8470,183
1350,J95811,183
1351,K912,183
1352,2180,183
1353,I309,183
1354,5793,183
1355,81241,183
1356,A403,182
1357,L02415,182
1358,C7802,182
1359,82123,181
1360,25083,181
1361,8600,181
1362,T8611,181
1363,2270,180
1364,72981,180
1365,99676,180
1366,I724,179
1367,53021,179
1368,I82422,178
1369,J45909,178
1370,73819,178
1371,K269,178
1372,J029,178
1373,3942,177
1374,99668,177
1375,0382,177
1376,35801,176
1377,G43A1,176
1378,C73,176
1379,48882,175
1380,R05,175
1381,I2609,175
1382,S270XXA,175
1383,D122,174
1384,I619,174
1385,7234,174
1386,27739,174
1387,7856,174
1388,28860,172
1389,T84032A,172
1390,82020,172
1391,0340,172
1392,41513,172
1393,S0003XA,172
1394,E162,171
1395,1984,171
1396,66121,171
1397,R296,171
1398,S0083XA,171
1399,K226,171
1400,3570,171
1401,V571,171
1402,I083,170
1403,53551,170
1404,80703,170
1405,D496,170
1406,I952,170
1407,S32592A,170
1408,92401,169
1409,K51011,169
1410,R45851,169
1411,80701,169
1412,71511,169
1413,M879,169
1414,34692,169
1415,55320,169
1416,4558,169
1417,3940,168
1418,59582,168
1419,30390,168
1420,1519,167
1421,R4781,167
1422,K8051,167
1423,N492,166
1424,N1330,166
1425,5130,166
1426,K5733,166
1427,78062,166
1428,L03213,166
1429,81342,166
1430,51909,166
1431,1891,166
1432,T8132XA,166
1433,K811,165
1434,O210,165
1435,O24429,165
1436,64233,165
1437,65641,164
1438,V7189,164
1439,K2210,164
1440,56489,164
1441,I6201,164
1442,5562,163
1443,J020,163
1444,K8062,163
1445,T84021A,162
1446,28411,162
1447,64801,162
1448,T8641,162
1449,I69398,161
1450,D469,161
1451,F410,161
1452,R4701,161
1453,T82838A,161
1454,C50912,161
1455,38612,161
1456,6111,160
1457,I469,160
1458,8020,159
1459,G935,159
1460,K750,159
1461,Z4732,159
1462,K7010,159
1463,40301,159
1464,64981,159
1465,65581,159
1466,99646,158
1467,74781,158
1468,5528,158
1469,R071,158
1470,L02414,158
1471,M7981,157
1472,L89154,157
1473,L270,157
1474,1978,156
1475,F4323,156
1476,K8070,156
1477,K311,156
1478,41511,156
1479,E870,156
1480,N3041,156
1481,K439,156
1482,F22,156
1483,T405X1A,155
1484,66421,155
1485,3241,155
1486,4251,155
1487,N3090,155
1488,6164,154
1489,5738,154
1490,H81399,154
1491,S060X0A,153
1492,C50911,153
1493,O2662,153
1494,K610,153
1495,1505,153
1496,L02214,153
1497,53641,153
1498,48284,153
1499,2182,153
1500,4358,152
1501,42820,152
1502,3688,152
1503,42091,152
1504,B3781,152
1505,42842,151
1506,64323,151
1507,I213,151
1508,E8342,151
1509,J470,151
1510,4801,151
1511,N939,150
1512,72887,150
1513,1622,150
1514,34680,150
1515,S82851A,149
1516,27652,149
1517,67484,149
1518,K631,149
1519,5368,149
1520,T83512A,149
1521,Z4889,149
1522,L03012,148
1523,1972,148
1524,G610,148
1525,57430,148
1526,452,148
1527,7866,148
1528,C561,148
1529,4592,148
1530,79982,148
1531,9678,147
1532,7821,147
1533,5531,147
1534,8242,147
1535,80702,146
1536,I2111,146
1537,K661,146
1538,K7581,146
1539,T8571XA,146
1540,3960,146
1541,A411,146
1542,F3130,146
1543,5723,145
1544,J8410,145
1545,3331,145
1546,K50113,145
1547,K551,145
1548,7843,145
1549,65341,144
1550,40311,144
1551,4011,144
1552,G4733,144
1553,I9789,144
1554,38610,143
1555,S022XXA,143
1556,485,143
1557,C713,143
1558,4422,143
1559,J218,143
1560,70715,143
1561,24200,143
1562,30401,143
1563,71537,143
1564,82322,143
1565,541,142
1566,R319,142
1567,0785,142
1568,N135,142
1569,J151,142
1570,53560,142
1571,56989,142
1572,D696,142
1573,31381,142
1574,8056,141
1575,K91850,141
1576,G9782,141
1577,2830,141
1578,I319,141
1579,7197,141
1580,81344,141
1581,70705,141
1582,70583,141
1583,3970,140
1584,5306,140
1585,V554,140
1586,K598,140
1587,1532,140
1588,1509,140
1589,48283,140
1590,57490,140
1591,2114,139
1592,D495,139
1593,00843,139
1594,O021,139
1595,55229,139
1596,O9089,139
1597,O411230,139
1598,M961,139
1599,K6289,139
1600,64193,139
1601,61889,139
1602,O4593,139
1603,7366,138
1604,72665,138
1605,T424X1A,138
1606,T82855A,138
1607,T8489XA,138
1608,27400,138
1609,4329,138
1610,K51911,138
1611,V560,137
1612,O364XX0,137
1613,9779,137
1614,G500,137
1615,R1110,137
1616,66041,137
1617,G7001,137
1618,2390,136
1619,3099,136
1620,29040,136
1621,1892,136
1622,45382,136
1623,99675,136
1624,O358XX0,136
1625,9630,135
1626,I63312,135
1627,J208,135
1628,O714,135
1629,6271,135
1630,53490,135
1631,99739,134
1632,M8458XA,134
1633,75481,134
1634,7265,134
1635,1809,134
1636,K122,134
1637,37601,134
1638,6149,133
1639,4401,133
1640,53020,133
1641,57512,132
1642,2762,132
1643,T84030A,132
1644,J1100,132
1645,57470,132
1646,78341,132
1647,F3113,131
1648,25003,131
1649,D120,131
1650,4275,131
1651,81209,131
1652,20400,131
1653,I82421,131
1654,Q211,131
1655,53440,131
1656,6268,131
1657,K652,131
1658,O7589,131
1659,K50013,131
1660,R5383,130
1661,K3589,130
1662,8448,130
1663,L7632,130
1664,81221,130
1665,O1404,130
1666,T84226A,130
1667,60490,130
1668,5168,130
1669,S060X9A,130
1670,J157,129
1671,C770,129
1672,78451,129
1673,K50912,129
1674,J4542,129
1675,M25512,129
1676,L0211,129
1677,65453,129
1678,Q676,129
1679,1122,129
1680,49301,128
1681,2381,128
1682,I82413,128
1683,3481,128
1684,73739,128
1685,R29810,128
1686,I674,128
1687,29041,128
1688,30501,127
1689,J95830,127
1690,O1493,127
1691,T86810,127
1692,72705,127
1693,41051,127
1694,I311,127
1695,T426X2A,127
1696,T43222A,127
1697,T83510A,127
1698,T8613,127
1699,S82142A,127
1700,6259,127
1701,1410,127
1702,O4413,127
1703,O211,126
1704,K7011,126
1705,1713,126
1706,N99820,126
1707,R918,126
1708,5961,126
1709,2375,126
1710,C782,126
1711,K2960,125
1712,1974,125
1713,T8241XA,125
1714,O09523,125
1715,F3160,125
1716,M4807,125
1717,3682,125
1718,D49511,125
1719,514,124
1720,6142,124
1721,J13,124
1722,K1120,124
1723,G540,124
1724,79431,124
1725,5728,124
1726,T82867A,124
1727,T182XXA,123
1728,R21,123
1729,L02413,123
1730,5779,123
1731,I953,123
1732,L02511,123
1733,G250,123
1734,70719,123
1735,1919,123
1736,N739,123
1737,3129,123
1738,53909,123
1739,V5489,123
1740,66001,122
1741,M546,122
1742,T50901A,122
1743,R1033,122
1744,H532,122
1745,M47816,122
1746,C7949,122
1747,Z4781,121
1748,J4552,121
1749,M5442,121
1750,9352,121
1751,99701,121
1752,K6389,121
1753,4940,121
1754,2449,121
1755,C678,121
1756,G9349,121
1757,N920,121
1758,E11628,121
1759,K8063,121
1760,81200,121
