loss,params,iteration,estimators,train_time
0.2517214081802259,"{'boosting_type': 'goss', 'colsample_bytree': 0.7706879189819607, 'is_unbalance': 'true', 'learning_rate': 0.03598378193909862, 'min_child_samples': 135, 'num_leaves': 67, 'reg_alpha': 0.9645612747608906, 'reg_lambda': 0.9616204046171472, 'subsample_for_bin': 60000, 'subsample': 1.0}",18,27,298.1915172000008
0.2527620596086686,"{'boosting_type': 'goss', 'colsample_bytree': 0.8464791720356762, 'is_unbalance': 'false', 'learning_rate': 0.10875645732896141, 'min_child_samples': 380, 'num_leaves': 112, 'reg_alpha': 0.002436386070584051, 'reg_lambda': 0.09460288039448272, 'subsample_for_bin': 180000, 'subsample': 1.0}",19,9,289.2327953999993
0.2525908194818306,"{'boosting_type': 'goss', 'colsample_bytree': 0.6048404419661536, 'is_unbalance': 'false', 'learning_rate': 0.06644368221542607, 'min_child_samples': 85, 'num_leaves': 66, 'reg_alpha': 0.776616518870496, 'reg_lambda': 0.5854944753883532, 'subsample_for_bin': 300000, 'subsample': 1.0}",20,15,218.98395829999936
0.23781119921228544,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6595682593104679, 'is_unbalance': 'false', 'learning_rate': 0.026978814186666762, 'min_child_samples': 330, 'num_leaves': 89, 'reg_alpha': 0.45691057876086044, 'reg_lambda': 0.2605120148022977, 'subsample_for_bin': 260000, 'subsample': 0.7071333910620206}",21,236,1034.2834723000014
0.23789515579657594,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6476328100644848, 'is_unbalance': 'false', 'learning_rate': 0.028701266666709992, 'min_child_samples': 320, 'num_leaves': 84, 'reg_alpha': 0.6631612903164202, 'reg_lambda': 0.2809271964962954, 'subsample_for_bin': 280000, 'subsample': 0.6513381744056514}",22,232,968.6385227999999
0.2377812618814994,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6708078469760312, 'is_unbalance': 'false', 'learning_rate': 0.026963874126152268, 'min_child_samples': 315, 'num_leaves': 85, 'reg_alpha': 0.6392969660010306, 'reg_lambda': 0.25468519124482414, 'subsample_for_bin': 260000, 'subsample': 0.588043899702309}",23,243,1031.1317245999999
0.23779148581612053,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.66223413163508, 'is_unbalance': 'false', 'learning_rate': 0.02528674495460847, 'min_child_samples': 320, 'num_leaves': 82, 'reg_alpha': 0.6382988489242661, 'reg_lambda': 0.17294610705403707, 'subsample_for_bin': 260000, 'subsample': 0.5602905936291303}",24,272,1091.0427493999996
0.23765085478467218,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7040990789086722, 'is_unbalance': 'false', 'learning_rate': 0.013515213990452949, 'min_child_samples': 310, 'num_leaves': 83, 'reg_alpha': 0.603018246385165, 'reg_lambda': 0.16354301763931886, 'subsample_for_bin': 240000, 'subsample': 0.5147155743821151}",25,482,1827.3575966999997
0.23754303662319476,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.707630032256903, 'is_unbalance': 'false', 'learning_rate': 0.010302298912236304, 'min_child_samples': 360, 'num_leaves': 99, 'reg_alpha': 0.5926734167821595, 'reg_lambda': 0.1498749826768534, 'subsample_for_bin': 240000, 'subsample': 0.6027609913849075}",26,568,2337.8441187000026
0.24068474546012342,"{'boosting_type': 'dart', 'colsample_bytree': 0.7188229587147885, 'is_unbalance': 'false', 'learning_rate': 0.011337533241975747, 'min_child_samples': 360, 'num_leaves': 97, 'reg_alpha': 0.565480105543411, 'reg_lambda': 0.13970108549288265, 'subsample_for_bin': 220000, 'subsample': 0.5778925739693502}",27,1481,58980.93162250001
0.23792238537882615,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7027077518707374, 'is_unbalance': 'false', 'learning_rate': 0.010034949525827131, 'min_child_samples': 265, 'num_leaves': 144, 'reg_alpha': 0.6967084500508367, 'reg_lambda': 0.34856109792752643, 'subsample_for_bin': 240000, 'subsample': 0.5042662437514362}",28,549,2844.0284691999987
0.2379569142484772,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8048195778680931, 'is_unbalance': 'false', 'learning_rate': 0.014100243796433235, 'min_child_samples': 290, 'num_leaves': 50, 'reg_alpha': 0.5265182728320886, 'reg_lambda': 0.01832396549295623, 'subsample_for_bin': 300000, 'subsample': 0.6233526733625907}",29,583,1754.9666982999915
0.2379606507061326,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7794455087697747, 'is_unbalance': 'false', 'learning_rate': 0.013837344100144292, 'min_child_samples': 365, 'num_leaves': 77, 'reg_alpha': 0.7281390900145487, 'reg_lambda': 0.15584966439478937, 'subsample_for_bin': 280000, 'subsample': 0.5116096683940794}",30,471,1945.5803868999938
0.24054218530667293,"{'boosting_type': 'dart', 'colsample_bytree': 0.7312784258626223, 'is_unbalance': 'true', 'learning_rate': 0.013740520715350993, 'min_child_samples': 285, 'num_leaves': 96, 'reg_alpha': 0.5739480259747332, 'reg_lambda': 0.36481725552089894, 'subsample_for_bin': 180000, 'subsample': 0.7109438108820981}",31,1263,30903.43294479999
0.2375462838793515,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.692796707372982, 'is_unbalance': 'true', 'learning_rate': 0.01016178212804613, 'min_child_samples': 465, 'num_leaves': 125, 'reg_alpha': 0.8550492732836235, 'reg_lambda': 0.07856241380618534, 'subsample_for_bin': 240000, 'subsample': 0.6742624002442426}",32,544,2563.346845399996
0.24400731193109038,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.8261806701480765, 'is_unbalance': 'true', 'learning_rate': 0.1398098340835682, 'min_child_samples': 460, 'num_leaves': 129, 'reg_alpha': 0.9145375871279096, 'reg_lambda': 0.0795934156643204, 'subsample_for_bin': 160000, 'subsample': 0.6729592877926708}",33,32,517.7273374999932
